First Name,Last Name,Network Provider,Total Data (GB),Age
Evan,Gonzalez,AT&T,1.298607003,41
John,Miller,Sprint,5.377792426,60
Christopher,Burke,T-Mobile,4.085606443,69
Daniel,Blanchard,T-Mobile,0.936261032,33
Jonathan,DDS,Verizon,5.441047019,20
Donald,Gallegos,T-Mobile,1.260068586,82
James,Bennett,AT&T,4.540423732,73
Caleb,Blanchard,Sprint,0.915948075,40
Javier,Hernandez,T-Mobile,3.433306438,42
Allen,Davis,T-Mobile,3.026846936,92
Richard,Robertson,Sprint,1.308141504,63
Timothy,Torres,Verizon,3.724925819,81
Robert,Yates,T-Mobile,3.973258534,55
Christina,Marsh,Verizon,4.111237365,81
Lori,Tucker,Verizon,4.384645039,28
Corey,Morgan,T-Mobile,2.63986923,91
Margaret,Elliott,AT&T,3.185770407,20
Michael,PhD,Verizon,3.401858225,43
Brian,Brooks,T-Mobile,3.80048899,55
Samantha,Hernandez,Verizon,2.121448223,41
Angela,Gordon,Sprint,3.121928542,45
Daniel,Smith,AT&T,3.415610326,71
Steven,Carpenter,AT&T,5.555297878,20
Ronald,Mullins,Sprint,3.227401152,80
Jesus,Bass,Sprint,1.579327846,45
Misty,Acosta,Verizon,2.999510238,75
Terry,Gonzalez,Sprint,4.0906748,59
Monica,Montoya,AT&T,4.650176666,67
Whitney,Jones,Sprint,4.218574601,97
Brandon,Cook,T-Mobile,4.944637863,49
Matthew,Wade,T-Mobile,1.718423375,37
Jonathan,Black,Verizon,2.629905554,51
Chelsea,Simpson,AT&T,4.663588699,73
Kelly,Wallace,T-Mobile,1.884448986,30
Sabrina,Montes,Sprint,2.543224713,74
Edward,Jones,T-Mobile,4.890403211,63
Aaron,Strickland,T-Mobile,4.229609341,28
Alexandra,Todd,Verizon,5.489148087,74
Autumn,Torres,Sprint,5.380284485,75
Michael,Phillips,Sprint,1.437701943,95
Jennifer,Clark,Sprint,4.737799842,62
Brian,Nguyen,Verizon,0.989549481,47
Thomas,Hull,Sprint,3.796120831,81
Andrew,Kidd,Sprint,1.446937874,97
Nicholas,Durham,T-Mobile,1.836483525,92
Alex,Castro,T-Mobile,4.751856844,51
Amber,Hanna,Sprint,1.412494925,80
Jessica,Gonzalez,AT&T,3.357677277,29
Terri,Jackson,AT&T,1.02693634,19
Andrea,Tran,Sprint,0.842334385,51
Amanda,Patterson,AT&T,2.273000355,70
Ryan,Gardner,Verizon,3.257847809,92
Patrick,Francis,T-Mobile,2.115680878,86
Micheal,Johnson,Verizon,2.291146641,36
Jamie,Gillespie,T-Mobile,3.987826605,68
Laura,Young,AT&T,1.25567192,75
Robert,Miller,AT&T,2.573091254,70
Mrs.,DVM,Sprint,4.646480408,75
Nicole,Jones,AT&T,2.851854734,84
Tracy,Webster,AT&T,2.28106508,42
Matthew,Brown,Sprint,4.543524683,52
Mary,Vega,Sprint,4.377217575,28
Brittany,Reyes,T-Mobile,4.074276426,64
Belinda,Hickman,AT&T,5.361339014,94
Billy,Watson,T-Mobile,0.888961322,46
Charles,Davis,T-Mobile,4.829304656,88
Paul,King,Verizon,4.995452986,51
Teresa,Chan,AT&T,4.893119822,45
Jose,Smith,AT&T,2.746962986,48
Dr.,Torres,Verizon,4.504643121,23
Brian,Hamilton,T-Mobile,1.450077346,46
Ryan,Pollard,AT&T,4.719843979,100
David,Patterson,T-Mobile,1.462132592,81
Ashley,Mullins,Verizon,4.510850116,42
Lori,Morgan,Sprint,3.958761713,69
Darrell,Burnett,T-Mobile,0.842702557,30
Curtis,Frank,AT&T,4.850173352,43
Daniel,Wilson,Sprint,3.637191972,88
Norma,Cox,T-Mobile,3.964601663,34
James,Patton,T-Mobile,1.686050883,46
Victoria,Clark,Sprint,4.418140509,52
Colleen,Smith,Sprint,3.37152458,64
Ann,Holmes,Sprint,2.343383811,42
Patricia,Cruz,AT&T,3.533343466,25
Caitlin,Ward,AT&T,3.583354463,53
Rita,Ross,T-Mobile,3.726190462,60
Christina,Kramer,T-Mobile,1.840084008,93
Adam,Edwards,Verizon,2.600879629,57
Steve,Deleon,AT&T,3.638114333,52
James,Moran,T-Mobile,5.141924834,39
Cassandra,Abbott,Sprint,4.568608698,40
Lisa,Phillips,Sprint,2.070090934,57
Leslie,Hall,AT&T,1.772625087,88
Philip,Nguyen,Sprint,3.400420059,55
William,Brennan,Verizon,5.091223965,78
Amy,Anderson,T-Mobile,0.903995486,83
Shelly,Adams,T-Mobile,4.265509074,61
John,Sampson,T-Mobile,1.832462641,62
Colin,Carter,AT&T,1.276225576,97
Tamara,Gates,Sprint,1.015233461,87
Alfred,Harris,Verizon,4.689505618,65
Christopher,Henry,AT&T,4.853567902,87
Juan,Diaz,T-Mobile,1.031816119,88
Adam,DDS,Verizon,2.86465661,69
Eugene,Nelson,T-Mobile,1.588068838,20
Frank,Thomas,T-Mobile,3.79378679,79
Jason,Anderson,AT&T,4.039998658,29
Julia,Cuevas,T-Mobile,2.076787435,89
Brett,Huffman,Verizon,1.177946386,39
Stephanie,Ford,T-Mobile,4.519858935,73
Kimberly,Morris,Sprint,3.585766516,91
Rebecca,Keller,T-Mobile,0.540222959,87
Mary,Harris,AT&T,3.528802288,27
Patricia,Taylor,Verizon,4.539923812,90
Aaron,Simpson,AT&T,3.186582459,19
Mrs.,Perez,Sprint,2.186672193,22
Ryan,Barnett,T-Mobile,3.021518092,41
Robin,Heath,AT&T,3.730234705,62
Jessica,Ramirez,AT&T,3.174256636,58
Rodney,Strong,AT&T,5.56128089,33
Leslie,Curtis,AT&T,1.59351553,47
Wendy,White,Sprint,3.813199859,79
Samuel,Williams,Sprint,1.775577673,82
Christina,DDS,T-Mobile,1.192157329,25
Curtis,Stevens,T-Mobile,4.088919047,59
Angelica,Hull,Verizon,4.974188217,100
Mr.,Joseph,Sprint,1.683532835,64
Judy,Hall,AT&T,5.568286257,40
Brandi,Lewis,AT&T,1.625809841,47
Heidi,Rodriguez,Verizon,2.320352616,53
Karen,MD,AT&T,1.310405163,24
Danny,Francis,Verizon,3.691372278,56
Emily,Donovan,T-Mobile,3.218365071,83
Bobby,Brown,Sprint,2.440289127,37
Richard,Walton,Verizon,2.728618596,70
Dana,Thomas,AT&T,3.554355361,91
Rodney,Brown,Verizon,3.798772087,73
Jeremy,Barton,T-Mobile,2.604581173,98
John,Jones,AT&T,4.747455237,26
Brent,Hogan,T-Mobile,3.338615338,90
Robert,Diaz,T-Mobile,1.214449925,71
Ronnie,Walsh,Verizon,2.045786131,27
Claire,Bauer,T-Mobile,4.65398852,95
Allison,Gomez,AT&T,0.931923063,18
Kendra,Hendricks,T-Mobile,4.205820389,57
Annette,Howard,T-Mobile,2.655426681,84
Martin,Frost,Verizon,3.608915015,82
Cody,Reed,T-Mobile,1.623417897,60
Alexander,English,Sprint,4.869256839,20
Lisa,Lewis,Verizon,4.732681515,59
Jennifer,Cole,Verizon,5.219405258,94
Dawn,Huber,AT&T,1.87132802,85
Vanessa,Coleman,AT&T,4.201784819,92
Jay,Nichols,AT&T,2.67423303,25
Douglas,Jackson,AT&T,4.335164826,51
Ian,Lee,Sprint,1.833309518,45
Gary,Butler,Verizon,4.459619229,83
Rebekah,Rowe,T-Mobile,4.861765443,80
Julie,Garcia,AT&T,1.753831305,28
William,Lawson,AT&T,1.353242172,35
Jessica,Long,AT&T,0.675332711,90
Heather,Hutchinson,T-Mobile,1.907835814,68
Vanessa,Payne,AT&T,3.000794773,42
Carrie,Nelson,T-Mobile,4.161580983,79
Tina,Li,Verizon,2.26384619,79
Erika,Weber,Verizon,3.252966435,67
Alexander,Ramirez,Verizon,3.100656704,52
Shannon,Garcia,Sprint,1.726438048,52
Yolanda,Shelton,T-Mobile,3.311575424,69
Jacqueline,Vance,AT&T,0.984987046,86
Andrew,Walker,AT&T,3.881269351,95
Michelle,Oneill,AT&T,0.712566558,88
Alexandra,Reid,AT&T,4.024218974,46
Angela,Farmer,Sprint,1.627287173,85
Susan,Boyle,AT&T,5.051146491,40
Megan,Davis,Sprint,4.316394222,59
Thomas,Contreras,T-Mobile,2.556766432,96
Ryan,Lindsey,Verizon,2.974591553,91
John,Lewis,AT&T,1.354962551,63
Devin,Zuniga,Verizon,3.929323005,72
Douglas,Huff,T-Mobile,2.012593479,65
Chris,English,T-Mobile,3.882875427,80
Amber,Flynn,AT&T,1.085521038,95
Laurie,Nguyen,T-Mobile,1.24752192,82
Gregory,Jensen,Verizon,2.275443577,43
Jill,Garcia,AT&T,1.536835879,18
Joe,Mitchell,Sprint,3.502900518,70
Robert,Sampson,AT&T,0.943482066,83
Nicholas,Anderson,Verizon,4.536396156,61
Kristine,Carroll,AT&T,4.108172177,72
Jonathan,Middleton,AT&T,1.678647326,21
Elizabeth,Mann,Verizon,2.464704943,49
Kimberly,Lindsey,AT&T,2.490037886,46
Tina,Wall,AT&T,3.752854959,54
Austin,Whitaker,Verizon,2.014847184,26
Brenda,Wallace,T-Mobile,0.736876936,55
Debra,Adams,Verizon,1.924252747,48
Jordan,Flores,AT&T,2.683368229,56
John,Nixon,Sprint,5.029078774,52
David,Wallace,Sprint,4.948510428,59
Kenneth,Yang,Verizon,1.065696272,84
Paul,Rose,Sprint,4.056293737,49
Kelly,Newman,AT&T,5.329764978,39
Henry,Williams,AT&T,0.259939881,100
Jonathan,Martinez,Verizon,4.27188284,38
Elizabeth,Scott,AT&T,3.014538445,97
Kenneth,Thomas,T-Mobile,3.40478179,67
Abigail,Newton,AT&T,3.004163464,39
Aaron,Hanson,Verizon,5.760049072,95
Rebecca,Robertson,T-Mobile,1.641684662,30
Gregory,Johnson,T-Mobile,4.653638259,54
Gail,Marshall,Sprint,1.736034759,36
James,Carter,AT&T,2.420006763,61
William,Clark,Verizon,4.899224666,19
Amanda,Ramirez,Sprint,4.24227067,52
Mrs.,MD,Sprint,1.979098127,60
Anne,Jones,AT&T,3.72829607,37
Matthew,Thompson,AT&T,1.172951833,55
Andrew,Williams,Verizon,2.124853949,23
Dr.,Boone,Sprint,3.796621536,51
Lori,Lee,Verizon,3.664167047,49
Erik,Robertson,Sprint,3.134705101,56
Amanda,Harrison,Sprint,4.296563836,81
Cynthia,Cox,Sprint,2.428169651,45
Mrs.,DVM,AT&T,0.928088219,97
Anthony,Hayes,Sprint,2.762522726,74
William,Miller,Sprint,4.719665261,94
Elizabeth,Patterson,Sprint,5.160870681,68
Daniel,Ward,T-Mobile,2.072715293,30
Matthew,Walton,AT&T,0.322896463,39
Charles,Evans,T-Mobile,3.99740033,89
Jonathan,Riggs,AT&T,3.700068,51
Laura,Robinson,Verizon,2.338338049,94
Christina,Hernandez,T-Mobile,3.054253964,31
Brittney,Vargas,Verizon,4.888679982,30
Michelle,Murphy,Sprint,3.259692145,83
Tiffany,Cruz,Verizon,2.485105023,30
Paul,Phillips,Verizon,3.655604708,62
John,Clark,Verizon,1.833616209,52
Jesse,Burke,Verizon,1.860612149,56
Jaime,Morgan,AT&T,4.851268063,76
Rodney,Gutierrez,T-Mobile,1.29670032,98
Todd,Peters,AT&T,2.473849508,38
James,Coleman,AT&T,3.187315672,90
Taylor,Cox,AT&T,4.479621209,57
Adrienne,Woodward,Verizon,4.625568224,99
Katelyn,DDS,AT&T,1.10991388,37
Dean,Fry,T-Mobile,4.026882085,41
Emily,Anderson,AT&T,2.927869351,79
Kimberly,Cunningham,Sprint,2.997595557,98
John,Schmidt,Verizon,4.084795678,31
Sheila,Montgomery,Sprint,1.870554968,39
Monique,Washington,T-Mobile,5.7272187,20
Brenda,Johnson,T-Mobile,3.675239305,88
Dakota,Parks,T-Mobile,2.598152004,40
Anthony,Wright,T-Mobile,3.89244667,27
Christopher,Johnston,AT&T,1.251232107,59
Leah,Hogan,Verizon,3.140236848,62
Michael,Lewis,T-Mobile,1.035106428,78
Eric,Petersen,Sprint,1.896651427,70
Connie,Turner,T-Mobile,3.713147088,57
Michelle,Johnson,Verizon,4.119126494,62
Mark,Kelly,Sprint,1.652563338,68
Ruth,Smith,Sprint,2.878076053,47
Shawn,Jones,Sprint,2.908438376,42
Edward,Manning,AT&T,3.038816934,54
Steven,Combs,T-Mobile,1.843852298,91
Jeremy,Hines,AT&T,4.146532779,32
Ryan,Hurst,Sprint,1.370047701,92
Dominic,Parker,AT&T,5.170268345,43
Abigail,Martinez,AT&T,3.328156524,54
Grace,Russell,AT&T,4.904311853,21
Duane,Mclean,T-Mobile,1.684891017,65
Amy,Love,Sprint,4.368991837,22
Carlos,Brown,Sprint,1.426219175,88
Maxwell,Cannon,T-Mobile,4.413388482,87
Alan,Hernandez,AT&T,2.637522562,46
Donald,Chandler,AT&T,2.89839023,33
Gerald,Daugherty,Verizon,1.299596649,25
Catherine,Franklin,Verizon,0.882488817,64
Daniel,Wright,Verizon,3.344652488,97
Tammy,Williams,T-Mobile,3.550424442,32
Jason,Lyons,Sprint,4.031495914,67
Andre,Atkins,Verizon,2.045555383,24
Frank,Oconnor,Sprint,1.496173162,36
Paul,Gonzalez,Sprint,4.340828165,23
Alexis,Davis,Sprint,4.383542529,33
Tyler,Erickson,T-Mobile,2.552741004,77
Cody,Thomas,T-Mobile,3.700496619,92
Sylvia,Silva,T-Mobile,4.571748813,47
Leslie,Young,T-Mobile,4.510240265,72
Charles,Sanders,Verizon,0.778362673,83
Brianna,Lopez,AT&T,4.669838359,99
Sarah,Graham,AT&T,2.687230403,42
Chad,Clark,AT&T,3.82144802,24
Carlos,Rodriguez,Verizon,2.585271266,70
Mr.,MD,AT&T,3.408845301,75
Morgan,Mendoza,Verizon,3.725059709,66
Terry,Hansen,Verizon,2.805667513,25
Rachel,Ross,Verizon,2.752014144,52
David,Brewer,AT&T,3.901065667,62
Elizabeth,Williams,Sprint,3.108678382,26
Joshua,Huffman,AT&T,0.677692126,41
Jacob,Walsh,AT&T,0.210326624,37
James,Russell,T-Mobile,3.671262418,43
Stephanie,Marshall,Verizon,4.721282022,35
Joseph,Klein,Sprint,4.73391226,26
Benjamin,Gonzalez,T-Mobile,1.741293617,61
Ruth,Griffith,Sprint,3.115211396,80
Olivia,Mccarty,Sprint,1.316810451,41
Christopher,Byrd,Verizon,5.074321642,80
Tanner,Myers,AT&T,1.553141961,52
Kristine,Moore,Verizon,2.91913993,19
Melissa,Russell,Verizon,3.543570141,30
Brittany,Stevens,T-Mobile,5.054080649,69
Nicole,House,Verizon,0.753899516,49
Linda,Richmond,AT&T,2.479635993,27
Gregory,Warren,Sprint,3.620293487,19
Jason,Murphy,Verizon,3.762652203,89
James,MD,Sprint,1.238920766,86
Jimmy,Solis,Verizon,3.881718595,24
Alicia,Medina,Sprint,3.426889008,42
Joseph,Norris,Verizon,4.31178819,69
Timothy,Lee,T-Mobile,1.227111915,31
Charles,Wagner,Sprint,1.596832288,71
Mary,Black,Verizon,4.313830798,80
Andrew,Waller,Verizon,3.87336775,84
Timothy,Miller,T-Mobile,4.394788583,72
Jessica,Miller,T-Mobile,4.18783475,50
Jennifer,Riley,T-Mobile,1.166603791,88
Kevin,Merritt,Sprint,1.43481325,75
Amanda,Stephenson,Sprint,2.253529153,66
Angela,Gonzalez,T-Mobile,5.470379829,60
Kimberly,Mejia,AT&T,3.319215823,20
Danny,Moore,AT&T,0.948326433,27
Kendra,Peterson,Verizon,1.972639338,69
Carla,Ramirez,AT&T,5.195803181,40
Justin,Chavez,Verizon,5.025684734,92
Christopher,Mitchell,Sprint,5.174826635,73
Andrew,Reed,Sprint,2.330542675,59
Christopher,Dickerson,AT&T,3.704427334,84
Cindy,Gordon,Sprint,2.169867434,97
Maria,Johnson,T-Mobile,1.19664772,100
Sherry,Smith,T-Mobile,0.7701125,83
Elizabeth,Orr,AT&T,1.939148128,44
Ryan,Hendricks,AT&T,3.664093966,25
Kimberly,Foster,Verizon,4.893092654,62
Marvin,Delgado,Sprint,1.268744155,52
Curtis,Perkins,Verizon,5.452095717,76
Julie,Smith,Verizon,2.310180497,74
Raymond,Hansen,T-Mobile,2.881408393,25
Maria,Gregory,T-Mobile,2.525373527,57
Terry,Malone,T-Mobile,2.711998049,22
Nicholas,Estrada,T-Mobile,2.004112747,59
Joel,Mcbride,Verizon,3.874959777,97
Linda,White,T-Mobile,4.182055633,33
Kimberly,Wilson,Sprint,4.489836836,85
Jordan,Shaw,T-Mobile,1.740532714,84
Regina,Donaldson,T-Mobile,3.987849402,23
Terri,Moore,T-Mobile,3.290538463,65
Aaron,Ayala,AT&T,5.546157413,94
Lisa,Schaefer,Sprint,2.377838133,22
William,Andrade,Sprint,4.989249376,85
Joyce,Mckinney,Verizon,3.753437218,41
Christopher,Wilson,Verizon,4.487856273,30
Teresa,Garcia,T-Mobile,0.188731968,32
Linda,Wells,AT&T,2.918665231,57
John,Daniels,Verizon,2.727489375,47
Kevin,Swanson,Verizon,1.076305907,74
Patricia,Green,T-Mobile,2.494058017,66
Cynthia,Horn,T-Mobile,5.605083754,40
Brett,Mcgee,Verizon,2.545699295,21
Jeffrey,Walker,Verizon,1.584223144,57
Bonnie,Ross,Sprint,3.119857124,49
Jill,Bennett,AT&T,0.560232539,66
Stephanie,Davis,Sprint,2.982195226,75
Kelly,Miller,Verizon,2.993465405,51
Gina,Perez,Sprint,2.556962048,99
Gabriela,Norris,Sprint,3.977683259,81
Joshua,Lara,Verizon,1.159869862,98
Robert,Sparks,T-Mobile,4.768381255,68
Kelly,Castillo,Verizon,5.219293875,62
Crystal,Lang,T-Mobile,0.855282,75
Robert,Oconnor,Verizon,4.80120552,46
Daniel,Barnett,Verizon,3.146145416,89
Danielle,Hoffman,Verizon,2.798277274,18
Brooke,Hall,AT&T,1.305134547,59
Karen,Bishop,T-Mobile,2.609616543,27
Mary,Fisher,AT&T,5.578474681,84
Debra,Johnson,Verizon,2.040030647,90
John,Gomez,Sprint,1.630319624,42
Ryan,Jr.,AT&T,1.44787746,43
Logan,PhD,T-Mobile,2.824659181,25
Brittany,Meyer,Verizon,4.956641408,72
Miss,Freeman,AT&T,3.660859431,70
Michael,Payne,Sprint,1.933480329,53
David,Martin,AT&T,3.042277613,71
Lisa,Casey,T-Mobile,2.541112504,98
Michael,Cole,AT&T,0.409710895,18
Andrew,Rivera,Sprint,2.638012849,82
Rodney,Freeman,Sprint,0.71411513,88
Michael,Greene,T-Mobile,4.678239433,33
Krista,Anderson,Sprint,2.947093531,94
Courtney,Kirby,Verizon,4.8514081,33
Brad,Bell,Sprint,5.343563124,33
Justin,Phelps,Verizon,4.925499682,22
Ann,Campos,AT&T,0.714998881,77
Jamie,Pearson,Verizon,4.724825049,59
Patrick,Holland,Verizon,4.618057422,72
Courtney,Hernandez,AT&T,4.253265827,43
Kevin,Fields,Sprint,0.807061415,24
Randall,Rivera,Verizon,1.754574475,46
Steven,Bender,Sprint,5.346421694,92
Donald,Rodriguez,AT&T,1.590824796,34
Tyler,Porter,T-Mobile,1.59449156,71
Whitney,Hampton,Sprint,2.598699044,68
Jon,Hall,Sprint,5.13703672,72
Brandy,Smith,T-Mobile,2.785902246,62
Megan,Ray,T-Mobile,4.875385951,93
Colleen,Peterson,AT&T,2.420825441,84
Breanna,Benson,Sprint,1.654340706,77
Robert,Smith,Sprint,3.133395617,85
Cindy,Olsen,AT&T,3.894634187,38
Jamie,Ruiz,Sprint,2.836573996,18
Dan,Shelton,Verizon,1.999794439,94
Robert,Johnson,Verizon,1.294340342,89
Felicia,Cook,Verizon,1.640583964,37
Christopher,Webb,Sprint,4.038859346,77
Brian,Armstrong,Verizon,2.204327609,88
Michael,Hardin,Verizon,0.611770258,87
Elizabeth,Carson,AT&T,0.821553533,47
Pamela,Leon,AT&T,2.175114296,53
Caroline,Nelson,T-Mobile,4.659240336,89
Mr.,MD,T-Mobile,2.042001632,58
Casey,Hughes,T-Mobile,1.012913493,40
Jennifer,Johnson,T-Mobile,2.09824839,65
Ryan,Perry,AT&T,3.405297675,99
Julie,Smith,AT&T,3.74435811,89
Sara,Diaz,AT&T,2.223183211,71
Kimberly,Wood,Verizon,3.703116419,45
Amy,Mcbride,Verizon,3.192054813,64
Cynthia,Martin,T-Mobile,1.572438307,30
Kayla,Walsh,Verizon,1.190574354,25
Patrick,Clayton,Sprint,2.747623278,62
Jordan,Chaney,AT&T,3.398896083,23
Kathleen,Sanchez,T-Mobile,4.841113339,22
Allen,Stanley,T-Mobile,2.667755667,64
Robert,Castro,Sprint,4.624595356,41
Mark,Rodriguez,Verizon,1.388592785,30
Ashley,Sanchez,T-Mobile,4.887319892,92
Cynthia,Gallagher,Verizon,3.527164007,68
Linda,Mayer,Verizon,3.697451252,93
Dawn,Mays,Sprint,1.176235987,21
Lisa,Hardy,T-Mobile,0.487868743,32
Cassandra,Hines,Verizon,4.1060339,70
Mary,Davis,Verizon,1.468692361,74
Lori,Hensley,Sprint,1.032855339,30
Joshua,James,Sprint,1.778563289,88
Timothy,Hutchinson,Verizon,0.947867498,28
Terry,Obrien,Sprint,3.469741758,60
Brad,Foley,Verizon,2.125942288,72
Cheryl,Williams,T-Mobile,2.017091572,28
Justin,Mcguire,AT&T,2.969860383,78
Joshua,Meyer,Sprint,4.780678087,86
Mr.,Jr.,AT&T,4.686416403,94
Rachael,DDS,Verizon,2.514909618,35
Jennifer,Mcdowell,Verizon,3.352106537,62
Jesse,Newman,Verizon,1.690078854,29
Jose,Jimenez,AT&T,2.956180351,98
Nicholas,Stephenson,Verizon,4.610658495,53
Christopher,Hill,Sprint,3.137463769,23
Madison,Ford,T-Mobile,1.916924532,18
Randall,Myers,T-Mobile,2.890603814,94
Elizabeth,Cook,Sprint,4.667677826,82
Judy,Goodwin,T-Mobile,5.013159898,51
Victoria,Murphy,AT&T,4.587022606,80
Joy,Dunn,Verizon,2.077991489,37
Robert,Johnson,Verizon,1.618699644,19
Bobby,Johnson,Verizon,4.142171357,55
Denise,Martin,AT&T,1.870360469,89
Miranda,Olson,AT&T,3.93969597,87
Bonnie,Dean,AT&T,2.711498171,67
Sheila,Horton,Sprint,2.389157488,60
Steven,Pena,AT&T,2.778859984,88
Danny,Pruitt,T-Mobile,5.271648742,33
Cynthia,Mckay,Sprint,1.137013864,50
Christopher,Patel,Sprint,4.539210462,64
Michelle,Duncan,Sprint,4.177180531,53
Samantha,Hill,AT&T,4.719422265,63
Kyle,Waters,Sprint,2.369575259,35
Nicole,Rodriguez,AT&T,3.350249771,64
Mr.,Perry,AT&T,5.21386623,51
Sydney,Gibbs,Sprint,3.040031345,27
Timothy,Rodriguez,Verizon,2.60420243,33
Eddie,Allen,Verizon,2.561548001,90
Jennifer,Ross,Sprint,1.00535796,83
Andrew,Butler,Verizon,2.36927396,24
Michelle,Johnson,T-Mobile,4.070451562,79
Luis,Lane,T-Mobile,3.648477138,62
Jordan,Prince,AT&T,0.288578401,78
Emily,Boyle,Verizon,4.186340559,63
John,Figueroa,T-Mobile,3.318664846,85
Jeremy,Jones,Sprint,3.461060161,23
Oscar,Roberts,Verizon,5.025719798,67
Jacob,Arnold,T-Mobile,2.115686112,83
Sandra,Hoffman,T-Mobile,4.393715965,66
Michael,Rodriguez,Sprint,3.616835373,61
Matthew,Ellis,AT&T,3.732907021,82
