First Name,Last Name,Age,Upstream Data (MB),Downstream Data (MB),Total Data (GB),App Name,Network Provider,City,State,Country,Zipcode
Sara,Tate,48,423.6334671,4970.362054,5.267573751,Snapchat,AT&T,Curtiston,West Virginia,USA,2041
Tabitha,Beltran,18,270.4209989,737.6689112,0.984462803,TikTok,T-Mobile,North Anna,Wisconsin,USA,40017
Lisa,Mason,66,80.29106871,2818.770682,2.831114991,Snapchat,T-Mobile,Port Shirleyberg,North Carolina,USA,93368
Sarah,Eaton,67,546.7823448,3342.731932,3.798353786,Twitter,Verizon,Burnsbury,West Virginia,USA,66387
Jennifer,Garza,80,890.2938428,4688.470041,5.448011605,YouTube,Sprint,New Christinahaven,Wyoming,USA,16058
Elizabeth,Cantrell,63,678.8438695,4243.928643,4.807395031,Zoom,Verizon,Matthewport,New Mexico,USA,71317
Valerie,Velazquez,29,257.1835841,1266.486118,1.487958694,TikTok,Verizon,Brownfurt,Kansas,USA,21442
Lauren,Rodriguez,42,577.8487609,2884.488559,3.381188789,Spotify,T-Mobile,East Johnny,Wisconsin,USA,70991
Holly,Maldonado,51,943.8019405,4770.191092,5.58007132,Twitter,Verizon,New Jenniferport,Maine,USA,69122
Katie,Taylor,80,725.6859024,3691.798393,4.313949507,Netflix,AT&T,North Kelly,Maryland,USA,94626
Stephanie,Williamson,27,692.5791604,3457.264924,4.052582114,YouTube,Verizon,Christinafort,Colorado,USA,96787
Thomas,Gonzalez,41,968.4765846,3786.760342,4.643786062,TikTok,Verizon,Juliashire,Idaho,USA,48921
Cheryl,Richardson,41,800.8845781,1646.405635,2.389931849,WhatsApp,T-Mobile,North Anthony,Georgia,USA,814
Shawn,Wagner,49,145.2573077,3659.798734,3.71587504,Twitter,Verizon,Williamsfort,Mississippi,USA,42458
Greg,Garcia,35,354.1587361,1202.63102,1.520302496,Zoom,Sprint,Stricklandton,Georgia,USA,1457
Jennifer,Daniel,40,965.4892937,2169.108716,3.061130869,Spotify,T-Mobile,West Amber,West Virginia,USA,63851
Daniel,Rich,45,494.8083403,4455.147645,4.833941392,Zoom,Verizon,Michaeltown,North Carolina,USA,91322
Lisa,Camacho,18,120.5210709,143.9071751,0.258230709,Snapchat,AT&T,Gonzalezburgh,Indiana,USA,92538
Samantha,Martinez,72,464.0188309,2100.877319,2.504781396,Netflix,AT&T,East Eddie,Mississippi,USA,31763
Carrie,Copeland,77,700.0233017,1370.767745,2.022256882,Instagram,T-Mobile,Harrisberg,Florida,USA,29458
Michelle,Carlson,95,997.5727395,1033.018602,1.982999357,Snapchat,T-Mobile,Jimenezview,Oklahoma,USA,93122
Raven,Luna,51,330.6662634,4200.948336,4.425404883,Twitter,Verizon,Gonzalezchester,Florida,USA,2363
Jason,Poole,65,518.9460061,3497.667936,3.922474552,WhatsApp,Sprint,Kellerville,Florida,USA,86915
Amy,Morgan,27,880.8838976,607.531966,1.453531117,WhatsApp,Verizon,Michelleport,Mississippi,USA,34007
Michael,Juarez,29,361.7145459,2497.593466,2.792292981,TikTok,AT&T,Port Hannah,Georgia,USA,52608
Eric,Roth,75,118.168941,2361.183571,2.421242687,Snapchat,Sprint,West Trevormouth,Maryland,USA,49940
Robin,Thomas,57,949.4465163,755.5125804,1.664999118,Netflix,Sprint,Petershire,Illinois,USA,46787
Eric,Bradford,95,493.5563986,4008.82537,4.396857196,Spotify,Sprint,South Jasmine,Louisiana,USA,92005
Gabriel,Owen,26,507.7558737,1865.036159,2.317179719,YouTube,Verizon,West Bobbystad,Vermont,USA,53219
Dale,Chapman,99,624.9881432,3821.591987,4.342363408,YouTube,AT&T,Port Brandonborough,Pennsylvania,USA,41488
Jason,Ferguson,67,13.50125747,1000.709945,0.990440627,Snapchat,T-Mobile,Waltermouth,Texas,USA,26477
Carly,Oneal,82,931.8198638,1609.613635,2.481868651,Facebook,Verizon,Melissachester,Nebraska,USA,27196
Patrick,Scott,90,367.8365739,521.0961911,0.868098403,Zoom,T-Mobile,Lake Kevin,Indiana,USA,74833
John,Walsh,21,402.9625438,760.2223852,1.135922782,Snapchat,Sprint,New Anthonyberg,Louisiana,USA,87710
Robin,Sullivan,72,182.3681551,4421.758277,4.496217219,WhatsApp,Sprint,Port Jennifermouth,Wisconsin,USA,8383
Joseph,Richards,77,384.3700972,590.1075887,0.951638365,Instagram,Verizon,West Logan,Washington,USA,33600
Evan,Gonzalez,41,805.9040955,523.8694761,1.298607003,Snapchat,AT&T,Lake Tanyaside,Mississippi,USA,24143
John,Miller,60,801.9917558,4704.867689,5.377792426,Spotify,Sprint,New Angelaland,South Carolina,USA,67115
Christopher,Burke,69,936.4388725,3247.222125,4.085606443,Instagram,T-Mobile,Danielmouth,Tennessee,USA,67479
Daniel,Blanchard,33,409.197178,549.5341186,0.936261032,TikTok,T-Mobile,Lake Tiffany,Connecticut,USA,64103
Jonathan,DDS,20,711.6342887,4859.997858,5.441047019,Zoom,Verizon,West Jamieburgh,Texas,USA,75941
Donald,Gallegos,82,512.1651797,778.145052,1.260068586,Snapchat,T-Mobile,Port Pamela,Connecticut,USA,14282
James,Bennett,73,805.9825616,3843.41134,4.540423732,WhatsApp,AT&T,South Dylan,Nevada,USA,73184
Caleb,Blanchard,40,715.416589,222.5142401,0.915948075,YouTube,Sprint,New Alejandroburgh,Michigan,USA,82795
Javier,Hernandez,42,374.223896,3141.481897,3.433306438,Spotify,T-Mobile,Hendersonberg,Delaware,USA,7326
Allen,Davis,92,343.3070959,2756.184167,3.026846936,YouTube,T-Mobile,Lake Jamesfurt,West Virginia,USA,35664
Richard,Robertson,63,259.9180384,1079.618862,1.308141504,Zoom,Sprint,Coreybury,Montana,USA,33389
Timothy,Torres,81,580.7506326,3233.573406,3.724925819,WhatsApp,Verizon,Michaelfort,Kentucky,USA,37377
Robert,Yates,55,964.2044231,3104.412316,3.973258534,Zoom,T-Mobile,South Williamland,Missouri,USA,72486
Christina,Marsh,81,208.0660702,4001.840992,4.111237365,Zoom,Verizon,Kaylafurt,California,USA,13654
Lori,Tucker,28,104.2999304,4385.57659,4.384645039,YouTube,Verizon,South Nicholashaven,Florida,USA,18890
Corey,Morgan,91,128.2066357,2575.019456,2.63986923,Facebook,T-Mobile,Port Karen,Nebraska,USA,33414
Margaret,Elliott,20,785.2676895,2476.961208,3.185770407,Spotify,AT&T,Scottborough,Oklahoma,USA,91280
Michael,PhD,43,356.6037562,3126.899066,3.401858225,YouTube,Verizon,Klinemouth,Delaware,USA,17841
Brian,Brooks,55,232.1231594,3659.577567,3.80048899,Twitter,T-Mobile,Lake James,Florida,USA,55256
Samantha,Hernandez,41,359.3156772,1813.047304,2.121448223,Netflix,Verizon,New Johnland,Delaware,USA,21229
Angela,Gordon,45,648.8775047,2547.977323,3.121928542,Facebook,Sprint,Lake Christopher,Rhode Island,USA,67046
Daniel,Smith,71,551.3192536,2946.26572,3.415610326,Netflix,AT&T,Greenton,Michigan,USA,38750
Steven,Carpenter,20,746.1535125,4942.471515,5.555297878,Snapchat,AT&T,Port Jason,Montana,USA,47687
Ronald,Mullins,80,345.683407,2959.175372,3.227401152,Netflix,Sprint,Walshburgh,Nebraska,USA,86582
Jesus,Bass,45,457.5082877,1159.723426,1.579327846,Netflix,Sprint,Port Jennifermouth,New Jersey,USA,15517
Misty,Acosta,75,110.9486853,2960.549798,2.999510238,Snapchat,Verizon,Lake Patrick,South Dakota,USA,3203
Terry,Gonzalez,59,82.32805957,4106.522936,4.0906748,YouTube,Sprint,North Garrett,New Jersey,USA,68344
Monica,Montoya,67,467.6326904,4294.148216,4.650176666,Facebook,AT&T,Lake William,Vermont,USA,81316
Whitney,Jones,97,308.5806414,4011.23975,4.218574601,Zoom,Sprint,Nelsonberg,West Virginia,USA,99215
Brandon,Cook,49,616.6725664,4446.636606,4.944637863,Spotify,T-Mobile,Jonesstad,Nebraska,USA,17280
Matthew,Wade,37,52.57214379,1707.093392,1.718423375,Instagram,T-Mobile,Tammyview,Delaware,USA,31648
Jonathan,Black,51,130.5487138,2562.474574,2.629905554,Snapchat,Verizon,West Valerie,California,USA,78131
Chelsea,Simpson,73,866.538903,3908.975925,4.663588699,Netflix,AT&T,New Johnhaven,Vermont,USA,47708
Kelly,Wallace,30,570.6485053,1359.027256,1.884448986,Twitter,T-Mobile,Lake Rachelchester,Alaska,USA,2089
Sabrina,Montes,74,714.9339884,1889.328117,2.543224713,Netflix,Sprint,Port Mary,South Dakota,USA,26561
Edward,Jones,63,843.5523975,4164.22049,4.890403211,Twitter,T-Mobile,North James,New Jersey,USA,78637
Aaron,Strickland,28,469.1959995,3861.923966,4.229609341,WhatsApp,T-Mobile,Lake Brenda,South Carolina,USA,98622
Alexandra,Todd,74,763.4497801,4857.437861,5.489148087,Instagram,Verizon,Katrinachester,Colorado,USA,35768
Autumn,Torres,75,529.3397233,4980.07159,5.380284485,Snapchat,Sprint,Alvarezton,Maryland,USA,32644
Michael,Phillips,95,230.5212826,1241.685508,1.437701943,YouTube,Sprint,Lake Stephanie,Illinois,USA,75659
Jennifer,Clark,62,344.2796071,4507.227432,4.737799842,Spotify,Sprint,New Karen,Missouri,USA,79862
Brian,Nguyen,47,495.4469366,517.8517317,0.989549481,YouTube,Verizon,Aguirreside,Iowa,USA,73528
Thomas,Hull,81,323.7166967,3563.511034,3.796120831,Netflix,Sprint,Wolfburgh,Florida,USA,65964
Andrew,Kidd,97,342.1724144,1139.491969,1.446937874,Zoom,Sprint,Phillipsview,Ohio,USA,34737
Nicholas,Durham,92,344.0189029,1536.540227,1.836483525,Zoom,T-Mobile,East Rachelchester,Iowa,USA,32107
Alex,Castro,51,131.6115791,4734.289829,4.751856844,WhatsApp,T-Mobile,Bradyfurt,Missouri,USA,29477
Amber,Hanna,80,93.79618114,1352.598622,1.412494925,Instagram,Sprint,South Traci,California,USA,78236
Jessica,Gonzalez,29,56.03107929,3382.230452,3.357677277,YouTube,AT&T,Davidburgh,Mississippi,USA,17720
Terri,Jackson,19,119.8466984,931.7361139,1.02693634,Zoom,AT&T,Scottborough,Nebraska,USA,98367
Andrea,Tran,51,350.2700212,512.280389,0.842334385,Facebook,Sprint,Lake Lindamouth,South Dakota,USA,6868
Amanda,Patterson,70,597.9330877,1729.619275,2.273000355,Netflix,AT&T,Port Kyle,Michigan,USA,71094
Ryan,Gardner,92,196.2654579,3139.770699,3.257847809,Spotify,Verizon,Sharonmouth,Alabama,USA,58230
Patrick,Francis,86,889.1287575,1277.328462,2.115680878,TikTok,T-Mobile,Victoriaburgh,Idaho,USA,2038
Micheal,Johnson,36,810.2986069,1535.835553,2.291146641,Snapchat,Verizon,North William,Arkansas,USA,70510
Jamie,Gillespie,68,525.3218417,3558.212602,3.987826605,TikTok,T-Mobile,North Andrew,Georgia,USA,34783
Laura,Young,75,726.9677325,558.8403138,1.25567192,Spotify,AT&T,Douglasmouth,Connecticut,USA,20862
Robert,Miller,70,372.6652395,2262.180204,2.573091254,TikTok,AT&T,South Bridgetstad,Mississippi,USA,76064
Mrs.,DVM,75,46.41001481,4711.585923,4.646480408,Twitter,Sprint,East Brettview,Montana,USA,45974
Nicole,Jones,84,905.2895191,2015.009729,2.851854734,Zoom,AT&T,West Brooke,Mississippi,USA,42554
Tracy,Webster,42,136.5155534,2199.295088,2.28106508,Spotify,AT&T,Charlesfort,Arizona,USA,71184
Matthew,Brown,52,948.4579729,3704.111303,4.543524683,Snapchat,Sprint,Ruthborough,Iowa,USA,37786
Mary,Vega,28,576.1637624,3906.107034,4.377217575,YouTube,Sprint,Port Alexis,Ohio,USA,96034
Brittany,Reyes,64,312.5074304,3859.551629,4.074276426,Facebook,T-Mobile,South Aaronville,Kansas,USA,96561
Belinda,Hickman,94,500.5693771,4989.441773,5.361339014,Zoom,AT&T,Nicholsshire,Illinois,USA,62560
Billy,Watson,46,506.6135108,403.6828831,0.888961322,WhatsApp,T-Mobile,Port Evanport,Nevada,USA,62190
Charles,Davis,88,33.05420865,4912.153759,4.829304656,Snapchat,T-Mobile,West Margaret,New Mexico,USA,31191
Paul,King,51,361.9052534,4753.438604,4.995452986,Twitter,Verizon,Escobarmouth,Montana,USA,62350
Teresa,Chan,45,742.4671415,4268.087556,4.893119822,Facebook,AT&T,Ramseytown,Arkansas,USA,26518
Jose,Smith,48,514.9684971,2297.9216,2.746962986,Netflix,AT&T,Jonesside,Indiana,USA,55411
Dr.,Torres,23,251.7878158,4360.96674,4.504643121,Snapchat,Verizon,Wrightshire,West Virginia,USA,5371
Brian,Hamilton,46,341.7587614,1143.120441,1.450077346,Twitter,T-Mobile,Guerrafort,Ohio,USA,47720
Ryan,Pollard,100,864.4238492,3968.696385,4.719843979,Spotify,AT&T,Maryfurt,Connecticut,USA,82958
David,Patterson,81,530.2941734,966.9296004,1.462132592,Spotify,T-Mobile,Hensontown,New Hampshire,USA,43358
Ashley,Mullins,42,533.0686013,4086.041917,4.510850116,WhatsApp,Verizon,South Stevenville,Wyoming,USA,28650
Lori,Morgan,69,961.8527845,3091.91921,3.958761713,Instagram,Sprint,Port Heather,Vermont,USA,48644
Darrell,Burnett,30,327.672585,535.2548336,0.842702557,Snapchat,T-Mobile,Lake Heatherberg,Washington,USA,76387
Curtis,Frank,43,484.7457139,4481.831799,4.850173352,TikTok,AT&T,South Lindsay,Arizona,USA,80399
Daniel,Wilson,88,813.5964617,2910.888118,3.637191972,Snapchat,Sprint,Hicksburgh,Rhode Island,USA,96884
Norma,Cox,34,761.3231264,3298.428977,3.964601663,Facebook,T-Mobile,West Austinmouth,North Carolina,USA,71194
James,Patton,46,273.1414277,1453.374676,1.686050883,Zoom,T-Mobile,Farrellshire,Michigan,USA,32027
Victoria,Clark,52,159.5801371,4364.595744,4.418140509,Netflix,Sprint,Port Hannahburgh,Wisconsin,USA,46958
Colleen,Smith,64,703.6975304,2748.743639,3.37152458,Facebook,Sprint,Huntshire,New York,USA,33384
Ann,Holmes,42,265.079615,2134.545407,2.343383811,Instagram,Sprint,East Connor,Massachusetts,USA,95830
Patricia,Cruz,25,923.4490702,2694.694639,3.533343466,WhatsApp,AT&T,East Elaine,Hawaii,USA,75881
Caitlin,Ward,53,137.955217,3531.399753,3.583354463,Facebook,AT&T,Batesport,Maine,USA,65561
Rita,Ross,60,325.1320481,3490.486985,3.726190462,YouTube,T-Mobile,West Monica,Delaware,USA,64844
Christina,Kramer,93,64.23937446,1820.00665,1.840084008,WhatsApp,T-Mobile,Sandrabury,Nebraska,USA,50086
Adam,Edwards,57,706.2722538,1957.028487,2.600879629,Twitter,Verizon,Lake Micheleside,Illinois,USA,81999
Steve,Deleon,52,892.3500224,2833.079055,3.638114333,Spotify,AT&T,Ellisfort,Oklahoma,USA,74767
James,Moran,39,639.5157821,4625.815248,5.141924834,Instagram,T-Mobile,Lake Haroldchester,New Jersey,USA,9519
Cassandra,Abbott,40,938.3754854,3739.879821,4.568608698,YouTube,Sprint,Housemouth,Illinois,USA,74140
Lisa,Phillips,57,137.2189387,1982.554178,2.070090934,Netflix,Sprint,Port Theresa,Florida,USA,71144
Leslie,Hall,88,96.85658799,1718.311501,1.772625087,Twitter,AT&T,West Sheri,Arkansas,USA,22534
Philip,Nguyen,55,840.0286039,2642.001537,3.400420059,Zoom,Sprint,Lake Robert,New York,USA,84728
William,Brennan,78,856.9560636,4356.457276,5.091223965,Netflix,Verizon,East Deanna,Nebraska,USA,97399
Amy,Anderson,83,832.7291318,92.9622459,0.903995486,Instagram,T-Mobile,West Shelby,Maryland,USA,47578
Shelly,Adams,61,800.9752535,3566.906038,4.265509074,Spotify,T-Mobile,Coxburgh,Kansas,USA,88687
John,Sampson,62,368.6060803,1507.835664,1.832462641,YouTube,T-Mobile,New Robertberg,California,USA,53832
Colin,Carter,97,225.2874628,1081.567527,1.276225576,TikTok,AT&T,Shannontown,Louisiana,USA,34019
Tamara,Gates,87,929.5159798,110.0830842,1.015233461,Spotify,Sprint,Whiteberg,South Carolina,USA,74330
Alfred,Harris,65,313.930181,4488.123572,4.689505618,Spotify,Verizon,Lake Michael,North Dakota,USA,57227
Christopher,Henry,87,404.4236053,4565.629927,4.853567902,Netflix,AT&T,South Dennis,Hawaii,USA,81108
Juan,Diaz,88,702.5633699,354.0163361,1.031816119,Zoom,T-Mobile,East Courtney,Wisconsin,USA,23539
Adam,DDS,69,300.4225192,2632.985849,2.86465661,Twitter,Verizon,Lake Scott,Nebraska,USA,96232
Eugene,Nelson,20,820.9389193,805.2435704,1.588068838,WhatsApp,T-Mobile,North Veronica,Oregon,USA,29366
Frank,Thomas,79,79.3342774,3805.503396,3.79378679,Facebook,T-Mobile,East Kendra,Nebraska,USA,75507
Jason,Anderson,29,793.2708407,3343.687785,4.039998658,WhatsApp,AT&T,Port Robertburgh,Pennsylvania,USA,93877
Julia,Cuevas,89,605.8328094,1520.797524,2.076787435,Twitter,T-Mobile,Pamelashire,Nevada,USA,32977
Brett,Huffman,39,577.2637077,628.9533911,1.177946386,TikTok,Verizon,Lake Antoniotown,Vermont,USA,47420
Stephanie,Ford,73,463.7932687,4164.542281,4.519858935,Facebook,T-Mobile,Dustinburgh,Georgia,USA,72026
Kimberly,Morris,91,284.2751403,3387.549772,3.585766516,Spotify,Sprint,Rosefurt,Colorado,USA,6258
Rebecca,Keller,87,469.4295826,83.75872776,0.540222959,Zoom,T-Mobile,West Sherry,Pennsylvania,USA,64500
Mary,Harris,27,455.5282269,3157.965316,3.528802288,Snapchat,AT&T,Port Amyland,Massachusetts,USA,66154
Patricia,Taylor,90,587.9166469,4060.965337,4.539923812,Twitter,Verizon,Troyville,Iowa,USA,30923
Aaron,Simpson,19,288.758543,2974.301895,3.186582459,Snapchat,AT&T,Robertville,West Virginia,USA,44514
Mrs.,Perez,22,86.81962616,2152.3327,2.186672193,WhatsApp,Sprint,Brendamouth,Virginia,USA,18163
Ryan,Barnett,41,153.6385522,2940.395974,3.021518092,Spotify,T-Mobile,Garrisonhaven,Missouri,USA,29312
Robin,Heath,62,702.1856571,3117.574681,3.730234705,Netflix,AT&T,East Heatherburgh,Alabama,USA,33899
Jessica,Ramirez,58,32.26740634,3218.171389,3.174256636,Netflix,AT&T,Gibsonchester,Arkansas,USA,58203
Rodney,Strong,33,857.8786142,4836.873017,5.56128089,Zoom,AT&T,Christopherburgh,Louisiana,USA,65886
Leslie,Curtis,47,697.4533542,934.3065484,1.59351553,Spotify,AT&T,Townsendchester,Massachusetts,USA,71791
Wendy,White,79,770.4056759,3134.31098,3.813199859,Twitter,Sprint,Victoriaburgh,Rhode Island,USA,66909
Samuel,Williams,82,837.6246046,980.5669322,1.775577673,Zoom,Sprint,Lake Michele,Kansas,USA,42839
Christina,DDS,25,131.4833395,1089.285765,1.192157329,Facebook,T-Mobile,Morrisonton,Alabama,USA,40146
Curtis,Stevens,59,824.2265801,3362.826524,4.088919047,Facebook,T-Mobile,Robertfurt,South Carolina,USA,6700
Angelica,Hull,100,509.5960133,4583.972721,4.974188217,Spotify,Verizon,New Holly,Maine,USA,2199
Mr.,Joseph,64,886.6686004,837.2690231,1.683532835,Zoom,Sprint,South Matthewbury,Kentucky,USA,93140
Judy,Hall,40,887.720735,4814.204392,5.568286257,YouTube,AT&T,Matthewberg,New York,USA,56950
Brandi,Lewis,47,33.93626332,1630.893014,1.625809841,Snapchat,AT&T,Gonzalezport,Arkansas,USA,23258
Heidi,Rodriguez,53,389.0365633,1987.004515,2.320352616,Zoom,Verizon,Millerbury,Maryland,USA,86079
Karen,MD,24,531.1348079,810.7200785,1.310405163,TikTok,AT&T,South Emily,Nebraska,USA,89605
Danny,Francis,56,681.5764889,3098.388724,3.691372278,Snapchat,Verizon,Greenton,Massachusetts,USA,44843
Emily,Donovan,83,293.3243842,3002.281448,3.218365071,YouTube,T-Mobile,West Trevor,Georgia,USA,19096
Bobby,Brown,37,259.6208381,2239.235228,2.440289127,Twitter,Sprint,Johnsonfurt,Kansas,USA,60536
Richard,Walton,70,387.4530619,2406.65238,2.728618596,YouTube,Verizon,West Jon,Louisiana,USA,64591
