First Name,Last Name,Upstream Data (MB),Downstream Data (MB),App Name,Timestamp
Cynthia,Harris,51.38,242.97,Twitter,2023-10-10 15:45:51
Aaron,Santiago,84.72,98.22,Twitter,2023-08-30 14:12:59
Donna,Patrick,79.21,149.1,Instagram,2024-01-30 13:59:17
Samantha,Logan,72.18,440.1,WhatsApp,2023-11-04 21:53:33
Richard,Clay,64.81,289.99,Snapchat,2023-12-01 21:16:49
Danielle,Barton,76.55,468.51,Facebook,2023-06-09 15:01:14
Cheryl,Liu,94.52,293.54,Twitter,2024-01-15 20:49:56
Micheal,Guzman,94.71,464.59,Facebook,2023-06-19 10:19:36
Charles,Carrillo,6.82,109.78,Facebook,2024-03-18 01:15:03
Frank,Pierce,15.12,77.24,Facebook,2024-03-06 13:06:11
Tina,Lee,65.14,157.16,TikTok,2024-02-17 03:13:29
David,Owen,3.14,370.25,Instagram,2024-03-15 15:42:35
Candace,Jennings,66.25,223.35,Instagram,2023-09-10 07:23:27
Christina,Harris,70.72,45.93,Facebook,2024-01-05 12:37:30
Katrina,Allen,28.48,271.16,Twitter,2023-09-20 20:29:56
Frank,Cross,68.95,177.12,WhatsApp,2023-11-13 15:50:26
Amanda,Adams,63.69,438.67,Facebook,2023-08-26 21:06:47
Terri,Brandt,18.21,44.35,WhatsApp,2024-03-05 10:40:34
Rickey,Smith,16.65,374.89,WhatsApp,2023-12-06 18:33:25
Cassie,Smith,20.35,6.4,YouTube,2024-01-01 20:06:45
Darryl,Foster,98.48,494.08,WhatsApp,2023-12-04 00:00:37
Sheryl,Simpson,50.79,295.89,Twitter,2024-05-18 17:23:13
Jonathan,Murphy,11.71,400.98,YouTube,2023-06-04 14:31:04
Paul,Allen,15.46,86.39,Snapchat,2023-08-23 07:24:12
Robert,Bush,24.29,35.8,TikTok,2023-12-15 12:02:57
Lisa,Schwartz,31.25,155.04,WhatsApp,2023-06-20 13:35:48
Justin,Hale,83.95,254.37,Facebook,2024-02-26 11:20:51
Charles,Williams,53.34,459.58,Twitter,2023-07-11 04:24:18
Misty,Walters,34.53,390.43,Snapchat,2023-06-08 16:54:14
Patricia,Brown,44.28,49.58,YouTube,2023-07-19 03:23:52
Tara,Soto,75.73,145.38,Instagram,2024-03-18 15:26:21
Alexandra,Mathis,70.42,292.85,WhatsApp,2023-12-04 22:34:21
Timothy,Ross,94.0,182.62,TikTok,2023-08-03 13:00:14
Randall,Castillo,9.32,1.16,Facebook,2024-05-19 21:47:45
Keith,Dixon,77.17,486.14,YouTube,2024-04-20 04:34:47
Renee,Blevins,16.77,86.16,YouTube,2023-08-17 06:26:15
Kristine,Johnson,73.93,31.97,Snapchat,2023-11-04 10:43:25
Dana,Cooper,26.27,467.72,Snapchat,2024-02-01 18:43:02
Stacie,Peterson,37.42,243.88,Twitter,2023-07-26 10:32:15
Adam,Moore,82.13,359.77,YouTube,2023-10-22 16:15:11
Susan,Irwin,78.95,483.32,YouTube,2023-07-17 01:04:38
Rachel,Perez,41.61,84.18,Instagram,2024-03-23 10:54:47
Erica,Morrow,20.67,412.08,YouTube,2023-08-08 09:11:51
Phillip,Jackson,26.51,271.8,Snapchat,2024-04-26 08:38:53
Kristina,Adams,54.12,120.21,Snapchat,2023-06-07 15:27:17
Ann,Jackson,15.7,305.85,YouTube,2023-06-04 15:48:32
Jason,Logan,22.45,66.35,WhatsApp,2023-10-02 09:17:17
Laura,Duncan,0.66,274.52,Snapchat,2023-10-09 09:36:13
Elizabeth,Velazquez,87.4,499.04,Snapchat,2024-04-23 08:54:12
Jeff,Copeland,54.22,4.67,Instagram,2023-06-10 14:08:36
Elizabeth,Mclaughlin,24.47,215.18,Facebook,2023-07-28 03:26:02
Kevin,Steele,27.16,394.35,Instagram,2023-09-11 15:54:38
Sarah,Williams,5.15,313.07,Instagram,2023-12-31 14:55:04
Lorraine,Carey,98.69,200.41,WhatsApp,2023-07-31 05:29:12
Phillip,Adams,55.01,471.05,WhatsApp,2023-10-22 21:09:55
Tracy,Myers,79.61,310.59,Snapchat,2023-07-15 04:53:06
Michelle,Robinson,87.74,484.12,Snapchat,2023-06-01 23:22:01
Jose,Jackson,10.61,403.33,WhatsApp,2023-10-15 09:30:03
Douglas,Owens,46.91,43.32,Facebook,2024-02-07 06:16:41
Robert,Barnes,72.5,145.91,YouTube,2023-07-30 21:03:52
Richard,Parsons,13.39,465.18,Facebook,2024-02-20 14:25:54
William,Hartman,89.4,53.25,TikTok,2023-08-08 20:21:04
Dana,Coleman,30.25,297.4,Instagram,2024-02-25 18:49:38
Ryan,Armstrong,61.15,249.04,YouTube,2023-11-12 01:13:46
Jennifer,Gonzales,35.47,213.18,Snapchat,2024-03-15 20:04:24
Mark,Miranda,99.14,48.45,Instagram,2023-06-17 05:51:42
Alicia,Jackson,85.66,222.98,TikTok,2023-07-11 17:22:17
Jeffrey,Brown,65.91,165.99,Instagram,2023-06-14 19:23:51
Kelly,Webster,92.97,389.32,Twitter,2023-07-21 00:35:10
Jeffrey,Rivera,47.6,447.87,TikTok,2023-10-04 10:29:26
James,Nguyen,82.9,145.8,TikTok,2023-09-16 07:46:57
Joseph,Meadows,51.51,155.59,TikTok,2023-08-13 10:31:25
Deborah,Owen,12.04,67.22,Instagram,2023-12-11 05:52:05
Cheyenne,Thomas,26.68,352.69,TikTok,2024-02-29 22:06:33
Jeffrey,Miller,60.82,94.23,Snapchat,2023-06-03 21:22:00
Sherri,James,20.9,405.63,Facebook,2023-09-11 15:28:42
Mark,Stevens,64.56,438.98,TikTok,2024-04-22 21:56:44
Erica,Page,43.76,222.0,Snapchat,2023-11-21 11:42:38
Blake,Wagner,53.98,36.48,Facebook,2023-08-13 06:42:23
Shannon,Ware,54.08,223.96,WhatsApp,2023-12-20 11:32:54
Timothy,Richards,28.06,248.99,Facebook,2024-03-05 23:02:04
Richard,Richmond,49.89,140.89,Instagram,2024-03-23 05:26:17
Douglas,Miller,61.4,128.65,WhatsApp,2023-09-22 23:16:41
Keith,Donovan,79.37,205.13,Facebook,2024-05-05 13:26:45
Steven,Fisher,7.97,144.37,Twitter,2024-02-20 06:13:18
Michael,Lewis,41.78,250.52,Facebook,2024-02-25 20:26:43
Susan,Wilson,87.68,198.55,WhatsApp,2024-02-22 20:13:49
Jeanne,Gilbert,73.96,211.51,Snapchat,2024-03-11 11:55:57
Edward,Barnett,0.96,428.12,TikTok,2024-01-08 15:35:14
Katie,Wu,13.42,382.21,YouTube,2023-05-31 17:27:10
Lauren,Moore,2.65,317.82,TikTok,2023-09-29 03:36:16
Scott,Brown,33.96,469.92,Instagram,2024-04-03 18:22:42
Dana,Walker,22.7,74.21,Facebook,2023-09-01 00:12:01
Sheila,Fox,60.68,5.92,Snapchat,2024-02-25 22:38:24
Kevin,Brown,60.1,144.57,YouTube,2023-11-04 05:47:59
Zachary,Ewing,2.69,144.66,Facebook,2024-05-05 23:02:46
Jennifer,Chambers,83.37,483.91,Facebook,2023-12-02 04:11:19
Dylan,Johnson,40.11,230.24,TikTok,2023-05-31 13:28:38
Michael,Gallegos,78.58,200.86,YouTube,2023-10-17 02:49:16
Karen,Franklin,56.53,169.61,Facebook,2023-05-30 23:34:15
James,Shaw,94.61,476.39,Facebook,2024-04-18 17:03:33
Derrick,Simpson,83.88,87.92,TikTok,2024-05-02 20:05:15
Emma,Chen,60.63,400.34,Facebook,2024-01-07 05:38:17
Eric,Petty,2.23,314.49,Snapchat,2024-02-17 10:28:31
Jessica,Rogers,66.28,19.91,Twitter,2023-08-14 16:11:52
George,George,23.66,198.22,TikTok,2024-02-06 22:52:32
Isabel,Mcconnell,25.98,274.04,Facebook,2023-12-23 02:12:44
Tracy,Christensen,71.57,472.97,YouTube,2023-08-19 08:33:31
Matthew,Green,28.51,120.73,TikTok,2024-02-15 21:17:06
John,Brown,4.09,201.04,Instagram,2023-07-13 22:49:21
Shane,Mitchell,93.35,338.7,TikTok,2023-06-11 17:36:07
Scott,Haas,51.15,270.67,Snapchat,2024-01-15 13:57:21
Michelle,Perez,94.74,422.03,Facebook,2023-10-27 18:32:34
Jessica,Johnson,18.77,3.66,TikTok,2023-08-11 11:25:11
Elizabeth,Hall,88.24,245.66,TikTok,2023-06-09 05:24:16
Raymond,Henson,52.01,108.49,WhatsApp,2023-06-15 17:04:18
Christopher,Hart,93.77,0.8,YouTube,2024-05-21 13:09:34
Justin,Reed,16.07,306.76,YouTube,2023-06-17 05:11:35
Rebecca,Gonzalez,4.26,434.05,TikTok,2023-06-15 08:26:20
Jason,Kelley,25.59,120.13,Twitter,2024-02-21 02:43:33
Jonathan,Reese,33.9,132.78,YouTube,2024-03-26 02:33:19
Michael,Richmond,75.74,6.93,Twitter,2024-04-30 13:27:00
Jessica,Love,22.49,416.93,Twitter,2024-03-08 05:40:21
Sarah,Johnson,42.18,442.29,Twitter,2023-10-09 16:39:40
Lauren,Stewart,45.31,432.84,YouTube,2023-12-21 20:29:37
Claudia,Hansen,2.96,85.2,WhatsApp,2024-04-19 14:37:51
Leslie,Love,72.72,286.5,Snapchat,2024-02-03 18:07:27
Robert,Hernandez,18.13,337.24,WhatsApp,2023-10-12 00:46:26
Dana,Brown,96.01,220.52,Snapchat,2023-06-01 18:03:18
Jeffrey,Chavez,33.37,207.03,YouTube,2024-05-26 07:28:22
Stephanie,Torres,62.19,69.61,Facebook,2023-06-05 21:45:08
Jennifer,Long,56.95,489.85,TikTok,2023-12-08 12:13:06
Philip,Parker,47.12,62.78,Twitter,2024-01-22 16:33:53
Brent,Simon,70.16,277.64,TikTok,2023-12-28 00:07:36
Matthew,Medina,87.23,350.35,Facebook,2024-04-14 06:48:50
Carolyn,Le,95.14,464.29,Instagram,2023-09-12 08:34:27
Deanna,Williams,90.81,341.19,Snapchat,2024-04-18 16:35:01
Teresa,Rocha,41.63,160.07,YouTube,2023-07-29 00:12:36
Carrie,Ball,2.58,355.26,YouTube,2024-03-25 19:48:44
Katelyn,Trujillo,31.19,264.99,Snapchat,2024-04-03 09:00:05
Martha,Williams,2.72,53.38,WhatsApp,2024-01-07 13:53:05
Amy,Walker,53.17,248.33,Facebook,2023-10-22 00:59:57
Robert,Moore,33.01,124.03,Snapchat,2023-11-10 16:42:13
Keith,Mitchell,16.12,144.48,Snapchat,2024-02-15 21:39:13
Madison,King,36.37,255.39,Instagram,2024-02-27 07:05:34
Jason,Choi,10.1,206.96,WhatsApp,2023-08-26 05:36:56
Brittany,Reed,12.72,164.93,YouTube,2023-11-10 22:49:12
Ronnie,Villegas,60.42,61.54,WhatsApp,2023-07-11 21:17:42
Carrie,Griffin,1.51,69.81,TikTok,2023-10-19 12:10:19
Lance,Mcclain,65.8,136.78,Instagram,2023-09-10 23:02:45
Jared,White,16.07,200.04,YouTube,2024-02-02 04:27:34
Vincent,Edwards,37.19,12.36,YouTube,2023-07-28 05:49:01
Victor,Reid,51.9,203.31,WhatsApp,2023-06-06 17:01:05
Tracey,Gonzalez,63.85,54.51,Snapchat,2024-05-23 13:31:59
Stacie,Hughes,71.18,195.8,Twitter,2024-03-06 20:43:09
Brian,Evans,62.46,283.18,Snapchat,2024-03-27 09:58:32
Melissa,West,24.14,289.89,Twitter,2024-05-19 04:58:20
Jean,Brennan,59.62,213.55,Snapchat,2023-06-20 09:23:27
Michele,Romero,82.37,346.23,Snapchat,2024-03-17 16:00:42
Terri,Miller,70.78,389.16,Instagram,2023-12-25 16:25:59
Jeff,Smith,28.11,59.8,WhatsApp,2023-08-22 13:51:17
Patricia,Barnes,81.51,293.36,Instagram,2024-02-19 03:46:58
Anna,Durham,4.72,86.45,YouTube,2024-02-02 12:49:37
Alex,Watson,92.83,151.93,YouTube,2023-11-18 20:14:32
Janice,Berry,44.29,4.88,WhatsApp,2023-11-29 16:54:16
Amanda,Rice,81.81,135.0,YouTube,2023-07-29 05:34:38
Amber,Long,42.71,234.73,Snapchat,2024-04-06 08:41:56
Kimberly,Rios,51.42,314.03,Snapchat,2023-09-09 22:47:29
Michelle,Houston,89.67,286.51,TikTok,2024-03-16 10:34:55
Emily,House,22.03,407.74,WhatsApp,2023-10-26 16:48:06
Kathy,Hudson,69.8,245.32,WhatsApp,2023-10-16 22:14:07
Austin,Decker,89.44,254.12,Instagram,2023-07-10 16:56:39
Anthony,King,90.38,198.36,Facebook,2023-06-30 23:19:56
Christine,Coleman,70.68,134.98,Twitter,2023-07-07 15:37:05
Caleb,Garcia,23.86,345.52,WhatsApp,2023-07-29 02:36:30
Patricia,Jackson,95.08,297.25,Snapchat,2024-01-16 10:51:47
Meghan,Olson,11.53,437.8,YouTube,2024-04-23 16:34:03
Carla,Owens,50.48,251.22,YouTube,2023-10-18 18:52:08
Anita,Miles,61.49,76.51,Instagram,2023-11-25 09:18:15
Brandon,Johnson,54.64,472.92,Facebook,2024-01-27 20:15:11
Kevin,Harper,41.52,43.12,Instagram,2023-12-20 10:11:44
Katherine,Johnson,55.17,159.71,WhatsApp,2023-10-27 17:08:11
Antonio,Fisher,5.75,89.98,WhatsApp,2023-07-12 22:48:55
Laura,Hanson,88.87,400.53,WhatsApp,2023-08-08 14:37:26
Samantha,Smith,24.6,96.94,TikTok,2023-12-05 18:12:32
Bryan,Brown,45.9,253.33,Twitter,2024-01-11 01:36:03
Craig,Thompson,44.38,291.36,Twitter,2023-11-07 00:50:24
Joshua,Walsh,78.57,111.8,Snapchat,2023-08-06 09:07:29
Kenneth,Hughes,84.15,472.32,Facebook,2023-11-04 12:09:49
Jonathan,Jordan,53.05,118.85,Twitter,2024-02-08 13:45:45
Brian,Johnston,49.38,265.31,Snapchat,2023-07-10 15:26:15
Kathryn,Carey,84.6,331.69,TikTok,2024-04-26 06:54:18
Samantha,Vasquez,84.54,0.69,Facebook,2024-05-25 21:21:08
Valerie,Alexander,63.79,489.02,Snapchat,2023-12-21 11:54:58
Vernon,Moore,82.56,283.32,YouTube,2023-07-11 05:14:18
Seth,Adams,73.37,458.94,TikTok,2023-11-16 16:16:34
Mary,Walker,86.92,199.27,YouTube,2023-08-05 06:19:21
Teresa,Bird,22.37,204.67,YouTube,2024-03-05 15:18:30
Heather,Williams,49.89,30.84,Snapchat,2024-05-21 08:15:16
Lisa,Meyer,59.57,410.05,Facebook,2023-07-06 18:33:10
Brianna,York,40.24,420.85,WhatsApp,2023-06-12 03:52:11
Melinda,Williams,2.3,388.47,Facebook,2023-10-31 21:10:02
Brian,Williams,27.31,61.84,Facebook,2023-08-10 20:43:00
Darius,Tran,0.41,273.82,Facebook,2024-04-24 17:27:48
Denise,Page,90.39,469.83,YouTube,2023-10-14 07:55:32
Stephen,Reese,3.34,312.04,Twitter,2024-02-01 12:56:43
Edward,Bryant,58.85,269.89,TikTok,2023-07-15 04:00:10
Ana,Francis,58.21,157.75,Snapchat,2023-08-11 21:23:47
Adam,Irwin,16.54,341.72,Twitter,2024-05-16 23:43:23
Christine,Jordan,19.66,364.29,Twitter,2023-07-31 02:56:38
Bradley,Johnson,9.92,213.25,WhatsApp,2023-09-09 18:12:50
Dominique,Moore,4.88,299.09,YouTube,2023-10-23 04:42:46
Paul,Taylor,61.56,118.51,WhatsApp,2023-06-07 18:33:36
Matthew,Allen,80.55,311.35,WhatsApp,2023-06-26 06:25:17
Joshua,Ramsey,62.05,462.3,Snapchat,2024-02-14 11:02:04
Edward,Butler,23.07,158.34,TikTok,2023-11-27 09:21:26
Michael,Chandler,48.69,186.23,Facebook,2023-09-20 06:55:29
Ross,Mccarty,74.39,216.77,Snapchat,2023-07-05 01:03:37
Jonathon,Gentry,41.06,6.63,TikTok,2024-01-07 08:00:40
Eddie,King,9.85,11.72,Snapchat,2024-05-09 08:50:26
Tara,Dixon,30.65,42.24,Twitter,2024-03-26 06:00:52
David,Ayers,49.88,261.41,YouTube,2023-09-24 02:10:10
Brian,Ballard,25.09,310.75,WhatsApp,2024-03-23 06:55:16
Timothy,Leblanc,13.62,350.78,WhatsApp,2024-04-26 11:59:03
Jose,Cole,23.97,22.48,Snapchat,2023-06-29 01:41:29
Anita,Thomas,71.97,183.92,WhatsApp,2023-07-30 11:20:21
Richard,Hernandez,33.72,469.23,Facebook,2023-06-11 23:34:35
Vanessa,Baker,50.03,390.94,WhatsApp,2023-09-16 03:43:03
James,Ross,28.07,358.3,Snapchat,2024-05-09 01:55:16
Cynthia,Martinez,92.54,315.41,Facebook,2023-11-13 08:53:26
Thomas,Saunders,66.67,441.76,WhatsApp,2023-10-28 11:10:28
Darlene,Bryant,49.67,399.14,YouTube,2023-08-24 00:09:05
Michelle,Miller,7.76,205.14,WhatsApp,2023-06-25 12:08:39
Heidi,Flores,82.2,26.92,Facebook,2023-08-16 09:33:20
Daryl,Richardson,98.54,458.8,Snapchat,2023-10-01 19:57:26
Megan,Smith,26.44,484.23,YouTube,2023-08-13 15:56:04
Melissa,Johnson,0.41,292.77,Facebook,2024-02-21 20:19:43
Robert,Johnson,52.42,208.65,TikTok,2023-07-30 23:35:18
Elizabeth,Brown,29.01,409.96,Facebook,2024-01-12 00:48:08
Betty,Jones,23.43,245.92,YouTube,2024-04-30 18:53:44
Tonya,Valdez,16.34,235.25,YouTube,2023-11-08 06:24:48
Kristy,Thompson,46.94,106.53,Instagram,2023-07-25 16:15:47
Jennifer,Herman,76.53,237.86,TikTok,2024-05-11 18:35:49
Melissa,Gibson,62.64,34.34,Facebook,2024-02-08 16:06:54
John,Hernandez,95.99,45.76,YouTube,2024-02-22 20:07:05
David,Boone,11.47,356.22,Snapchat,2023-11-28 20:01:49
Megan,Jones,1.51,340.14,Snapchat,2023-12-31 23:19:15
Luke,Torres,17.14,182.9,Facebook,2023-07-13 05:30:19
Sean,Stephens,13.76,222.73,Instagram,2024-03-21 08:46:07
Teresa,Jones,31.64,423.45,WhatsApp,2023-10-28 04:41:30
Thomas,Freeman,82.09,259.42,YouTube,2024-03-21 23:24:51
Nichole,Hardy,9.03,34.89,Instagram,2023-09-19 12:00:28
Tyler,Watts,71.23,337.06,YouTube,2023-09-17 12:30:26
Justin,Blair,73.45,337.62,TikTok,2023-12-02 15:53:10
Matthew,Gay,20.34,203.76,YouTube,2023-10-30 17:25:26
Erik,Goodman,48.35,34.31,Twitter,2024-01-02 07:15:00
Alexander,Hancock,15.3,234.02,TikTok,2023-09-12 19:17:45
Johnny,Powell,79.51,425.65,Twitter,2023-08-13 13:44:33
Julie,Hampton,28.12,417.21,Facebook,2024-03-28 20:02:32
Anthony,White,20.75,489.44,TikTok,2023-09-29 19:29:58
Maria,Kaufman,10.73,146.96,YouTube,2024-04-10 21:00:32
Christopher,Hart,36.77,349.67,Twitter,2024-03-15 05:13:03
Richard,Martin,93.4,225.51,Instagram,2024-04-24 20:53:59
Shari,Garrett,26.62,288.96,Snapchat,2024-03-25 09:04:23
Cynthia,Cook,70.76,387.99,Instagram,2023-11-29 04:42:23
Michael,Brown,59.48,171.63,Facebook,2024-01-27 09:40:02
Alejandro,Bailey,68.71,110.15,Snapchat,2024-01-19 15:30:53
Bobby,Heath,13.72,263.54,Snapchat,2023-07-18 13:22:39
Kristi,Roach,55.24,277.75,Snapchat,2024-03-14 19:01:27
Katelyn,Bright,42.35,423.93,WhatsApp,2023-07-02 20:29:38
Carol,Allen,44.72,325.7,Facebook,2023-08-11 19:02:05
Donald,Reeves,66.77,128.12,Instagram,2024-04-15 02:28:23
Dennis,Huang,10.26,196.9,Instagram,2024-02-23 21:07:51
Sydney,Wheeler,2.04,312.46,Instagram,2023-06-07 12:09:32
Rebecca,Moon,48.29,412.92,Facebook,2023-08-09 17:59:55
Eric,Hernandez,28.09,486.39,Instagram,2023-07-18 07:19:44
Ashley,Hall,97.06,18.28,YouTube,2023-09-17 02:49:25
Elizabeth,Thomas,11.57,327.67,Twitter,2023-09-08 07:36:07
Tiffany,Fernandez,32.59,376.18,Snapchat,2023-10-22 00:43:49
Jonathan,Watson,77.79,45.19,TikTok,2024-02-02 02:26:41
Brandon,Leonard,2.57,480.09,WhatsApp,2023-06-02 07:06:50
Ronald,Cole,1.88,118.19,Twitter,2024-01-27 21:48:53
Yolanda,Thomas,19.54,98.35,Instagram,2024-05-07 10:40:56
Michael,Carlson,29.25,185.35,Instagram,2024-03-26 08:17:12
Michael,Stone,65.34,157.39,TikTok,2024-04-06 22:27:26
Alexandria,Herrera,19.36,43.0,Instagram,2023-05-31 04:04:48
Kimberly,Johnson,59.81,135.69,Snapchat,2024-03-09 03:14:25
Justin,Thompson,15.92,461.31,Twitter,2024-04-20 01:36:46
Jennifer,Thomas,10.57,39.38,Facebook,2024-05-13 13:33:11
Melissa,Caldwell,62.63,192.9,WhatsApp,2024-02-18 04:24:01
Melissa,Parker,73.43,327.86,Instagram,2023-09-03 10:07:41
Brooke,Bean,43.4,54.29,Twitter,2023-10-14 07:26:00
Michele,English,96.39,332.19,WhatsApp,2023-06-29 19:41:33
Mary,Stout,51.3,326.77,Facebook,2024-04-08 18:14:19
Tamara,Stokes,49.9,251.79,Instagram,2023-06-17 07:42:13
Donna,Fletcher,4.54,168.05,TikTok,2024-01-23 16:54:35
Stephanie,Hernandez,96.13,23.3,WhatsApp,2023-12-18 07:42:14
Joseph,Meyer,37.79,253.87,Twitter,2023-09-08 16:25:02
Bridget,Randolph,76.53,283.02,Snapchat,2024-02-22 01:50:48
Judy,Johnson,96.59,104.72,Instagram,2024-02-10 08:55:01
Justin,Hicks,36.19,216.62,WhatsApp,2023-07-29 16:58:23
