First Name,Last Name,Network Provider,Total Data (GB),Age
Rebecca,Jones,Verizon,3.579773,57
Heather,Kline,T-Mobile,8.374621,58
Angelica,Sanchez,AT&T,1.919313,42
Shelia,Osborne,Verizon,8.42548,87
James,White,Verizon,5.064943,71
Alyssa,Parks,Verizon,5.711872,92
Olivia,Alvarado,Sprint,3.585575,51
Rachel,Webb,T-Mobile,8.651876,36
Gabriela,Gibbs,Sprint,4.056374,81
Linda,Hernandez,Verizon,1.092373,89
Jason,Carroll,Verizon,7.59019,44
Tammy,Johnson,AT&T,2.827871,74
Megan,Ramos,AT&T,2.338106,76
Robert,Smith,Sprint,4.86026,55
Angelica,Cherry,T-Mobile,1.702989,41
Todd,Coleman,AT&T,4.318836,60
Jo,Wilson,Verizon,6.1438,94
Robert,Smith,AT&T,7.959738,27
Heather,Braun,T-Mobile,8.063973,46
Donna,Perez,Sprint,7.909168,53
Dawn,Wilkerson,AT&T,4.041179,30
Steven,Campbell,AT&T,6.302407,82
Calvin,Kelley,T-Mobile,4.488337,69
Barbara,Collins,Sprint,1.250273,29
Mark,Trujillo,Sprint,4.644691,25
William,Norris,AT&T,3.258428,97
Larry,Ryan,AT&T,0.97889,44
Mary,Jackson,AT&T,4.171779,41
Kelly,Wagner,AT&T,9.601066,77
Kenneth,Kaufman,Sprint,8.77139,23
Robin,Brooks,AT&T,4.252422,32
Anna,Malone,AT&T,8.095905,27
Gloria,Johnson,AT&T,9.301663,74
Kevin,Williams,Verizon,0.871276,87
Kelly,Salazar,AT&T,6.721567,97
Miguel,Payne,Verizon,9.876999,52
Emily,Swanson,Verizon,5.632081,51
Jeremiah,Sanchez,T-Mobile,8.747109,52
Elizabeth,Pratt,AT&T,2.887319,38
Carmen,Taylor,Verizon,7.620832,78
Tiffany,Kane,AT&T,3.34396,84
Brian,Alvarez,Verizon,7.561562,47
Jonathan,Potts,AT&T,2.169902,30
Riley,Ross,T-Mobile,3.501372,99
Curtis,Hernandez,Sprint,7.769106,31
Brandi,Fernandez,Verizon,8.935537,21
John,Lam,AT&T,6.827534,62
Mark,Sloan,Verizon,4.034979,29
Stephen,Smith,T-Mobile,7.39159,65
Mary,Barton,Sprint,6.254616,78
Tony,Keith,AT&T,0.600264,21
Kathleen,Richard,Sprint,6.849256,23
Arthur,Rodriguez,Verizon,1.08649,57
Mark,Bryant,AT&T,1.695024,34
Jennifer,Boyd,Sprint,2.885704,33
Rebekah,Weiss,AT&T,4.869498,31
Ernest,Phillips,T-Mobile,4.526709,85
Bryan,Walker,AT&T,9.734905,50
Edward,Moreno,Verizon,0.79218,49
Brooke,Zuniga,AT&T,4.046027,18
Scott,Anderson,Verizon,3.566206,71
Christy,Shaw,Verizon,2.041486,66
Gilbert,Gardner,Verizon,5.753215,76
Richard,Burnett,AT&T,5.729628,51
Steve,Mann,T-Mobile,5.314209,69
Christy,Cardenas,AT&T,9.039631,89
Caleb,Lewis,T-Mobile,6.331888,24
Rodney,Collins,AT&T,3.750232,95
Tracey,White,Verizon,2.04982,81
Sandra,Villanueva,T-Mobile,1.964047,34
Steven,Griffin,Sprint,7.246289,51
Kimberly,Simpson,Verizon,9.885664,48
Jennifer,Davis,Verizon,3.534666,84
Vanessa,Castillo,T-Mobile,9.499043,52
Jennifer,Patterson,Sprint,8.750701,69
Susan,Carter,Sprint,0.684762,85
Margaret,Paul,T-Mobile,3.451617,56
Kimberly,Mathis,Verizon,8.957747,64
Sean,Wallace,Verizon,5.612202,97
Tiffany,Morales,AT&T,9.011664,62
Angela,Carr,Verizon,5.67165,19
Angela,Jones,Sprint,4.165532,18
Samuel,Cruz,Sprint,4.774704,82
Alexander,Ramos,T-Mobile,9.738939,59
Sean,Davis,AT&T,8.602131,46
Melissa,Mahoney,T-Mobile,5.623615,31
Kerry,Cruz,Sprint,5.370159,94
Marc,Hale,Verizon,5.876996,25
Dustin,Gonzalez,T-Mobile,7.852916,21
Sharon,Blevins,Sprint,2.399554,89
Samantha,Wade,T-Mobile,5.678859,86
Michael,Walker,AT&T,7.829887,44
Christopher,Nolan,Verizon,8.448176,29
Joshua,Johnson,AT&T,8.757459,91
Richard,Schneider,Sprint,4.838818,90
Eric,Porter,AT&T,5.115026,46
Theresa,Sweeney,AT&T,1.256335,73
William,Ortiz,Sprint,4.485194,49
Michael,Alvarado,T-Mobile,5.388214,35
Scott,Arnold,AT&T,4.675341,49
Nicole,Wallace,Sprint,8.73185,72
Jill,Brown,Sprint,1.724053,46
William,Ford,Verizon,1.561888,21
Bonnie,Perez,AT&T,8.827893,33
Mark,Kirby,T-Mobile,9.848122,85
Craig,Lewis,Sprint,2.260057,53
Jared,Davis,Verizon,7.431377,98
Jeffrey,Mercer,AT&T,3.845271,58
Mary,Schneider,Sprint,0.86218,28
Michael,Ward,AT&T,0.520676,97
Rodney,Suarez,T-Mobile,5.986452,91
Andrew,Williams,Sprint,2.242473,62
Linda,Watts,AT&T,5.109996,64
Theresa,Montes,T-Mobile,8.140848,35
Mary,Collins,T-Mobile,2.03751,48
Keith,Tate,Sprint,5.794574,86
Kathleen,Lozano,AT&T,2.299516,62
Corey,Calderon,T-Mobile,6.461856,84
Terry,Brown,T-Mobile,5.315827,28
Erin,Cuevas,AT&T,9.505129,93
Michael,Underwood,Verizon,8.982562,43
Mark,Hale,T-Mobile,4.074775,69
Andrea,Bowers,T-Mobile,3.05534,95
Kevin,Garcia,Sprint,2.295771,98
Jessica,Lawson,Sprint,7.898554,42
Andrew,Stark,AT&T,5.259075,21
Rose,Johnson,Sprint,7.942072,50
Amy,Morris,Sprint,3.297469,58
Anne,Johnson,Verizon,7.269144,19
Mariah,Barnes,Sprint,4.042732,36
Rebecca,Munoz,Verizon,7.568121,82
Kevin,Wall,T-Mobile,0.959976,90
Michelle,Kirby,T-Mobile,8.32372,79
Michelle,Fisher,Verizon,1.783854,58
Lance,Knight,Sprint,2.979066,92
Samantha,Daugherty,T-Mobile,5.574426,75
Tara,Jones,Sprint,1.062706,65
Diana,Martinez,Sprint,0.993728,51
Daniel,Hale,AT&T,6.729639,31
Chad,Smith,Sprint,6.215175,83
Edward,Harris,AT&T,9.835545,82
Patricia,Hernandez,AT&T,9.713787,79
Michael,Harper,T-Mobile,2.216487,96
Michael,Stafford,AT&T,8.596128,76
Jonathan,Lee,Sprint,8.868264,26
James,Matthews,Sprint,2.092261,30
Mary,Williams,Sprint,7.472145,92
Daniel,Jefferson,AT&T,3.731441,64
Jason,Hughes,AT&T,3.055426,96
Amy,Turner,Sprint,9.639958,48
Sonia,Myers,T-Mobile,4.030743,95
Matthew,Delgado,AT&T,4.135937,37
Lisa,Jones,AT&T,9.001475,80
Carl,Kemp,Verizon,8.332762,79
Carl,Haley,T-Mobile,8.470687,95
James,Yates,AT&T,5.348077,61
Frederick,Barber,AT&T,0.877953,36
Francisco,Morrison,AT&T,0.665981,69
Heather,Jones,T-Mobile,1.194976,95
Jill,Mitchell,T-Mobile,1.969009,89
Curtis,Baker,Verizon,9.383555,44
Jeanette,Barton,Sprint,6.091012,54
Karen,Townsend,AT&T,3.075916,92
Michael,Cook,AT&T,7.690411,75
Shelley,Mason,T-Mobile,8.21806,73
Kathryn,Simmons,Verizon,1.042543,66
Eugene,Hernandez,T-Mobile,6.317556,82
Carly,Knight,Verizon,9.355317,79
Crystal,Ward,Sprint,8.587798,72
Theodore,Sims,AT&T,5.127934,83
Walter,Thomas,AT&T,1.269244,55
Andrea,Harrell,AT&T,7.747386,96
Alexandria,Jones,AT&T,0.51037,50
Cassandra,Holder,Verizon,9.742592,39
Rodney,Terry,Sprint,1.629837,21
Samantha,Porter,T-Mobile,9.060401,70
Jamie,Orozco,Sprint,9.378392,96
Amber,Miller,Verizon,2.8518,42
Marilyn,Green,Sprint,3.031262,99
Todd,Garcia,T-Mobile,2.832604,26
Frank,Crawford,Sprint,5.785648,35
Jaclyn,Rose,Sprint,0.632029,21
Benjamin,Holland,Sprint,1.440263,42
Matthew,Martinez,Sprint,1.037408,50
Meghan,Bean,T-Mobile,7.067896,32
Kendra,Abbott,AT&T,4.717744,33
Lance,Reed,Sprint,3.145688,76
Ruth,Nunez,T-Mobile,1.020856,47
Christian,Galvan,AT&T,8.336125,58
Oscar,Mathews,AT&T,3.425279,70
Nicholas,Roberts,Sprint,1.053114,60
Elizabeth,Rodriguez,Sprint,4.025946,70
Wanda,Vang,AT&T,5.452546,100
Barbara,Browning,Verizon,2.036004,26
Erin,Faulkner,Verizon,4.504958,38
Megan,Thomas,Sprint,3.427078,93
Charles,Myers,Verizon,7.407998,68
John,Walters,Verizon,2.075882,89
Anthony,Shaw,AT&T,3.811409,96
Andrea,Davis,Verizon,6.916726,32
Andrea,Williams,T-Mobile,4.077136,80
Gary,Pearson,T-Mobile,8.308264,39
Jared,Smith,Verizon,0.796543,62
Kristen,Cordova,AT&T,6.565745,29
Joshua,Johnson,T-Mobile,3.746371,94
Mary,Douglas,Verizon,3.49511,19
Jessica,Barnett,T-Mobile,7.667315,92
Herbert,Huynh,T-Mobile,8.360287,66
Jennifer,Jones,AT&T,9.033385,50
Kevin,Reyes,T-Mobile,1.10036,63
Brandi,Peterson,Sprint,4.902545,92
Jennifer,Roach,T-Mobile,8.640648,49
Jared,Crawford,T-Mobile,6.317569,100
Lauren,Stanley,Verizon,5.796505,86
Barbara,Campbell,AT&T,1.543843,82
John,Page,Sprint,4.708637,67
Haley,Murphy,Sprint,2.365853,44
Charles,Robinson,AT&T,4.981614,50
Theodore,Carter,Verizon,1.788399,20
Patrick,Schmidt,AT&T,5.023194,65
Angela,Ho,Sprint,3.231757,47
Debra,Watts,AT&T,9.964874,96
Jesse,Huff,AT&T,7.856549,37
Kelly,Lopez,Verizon,4.941845,42
Ellen,Mcgrath,Verizon,7.137281,61
Becky,Brown,T-Mobile,1.001267,52
Anthony,Keith,Verizon,5.319624,61
Alison,Clements,Sprint,5.019265,82
Joshua,Wilson,T-Mobile,8.702875,44
Tony,Wilson,AT&T,8.029678,74
Leah,Dean,AT&T,5.964801,24
Timothy,Mckinney,Sprint,2.484653,86
Lisa,Thompson,Sprint,7.02259,20
Jennifer,Daniel,Sprint,1.83624,73
David,James,Sprint,4.573379,100
Timothy,Burton,T-Mobile,5.044339,18
Joy,Davis,AT&T,6.785273,40
Susan,Castillo,AT&T,3.282815,22
Douglas,Holland,Verizon,2.94562,99
Timothy,Smith,AT&T,5.428387,72
Samantha,Fuller,Verizon,3.285929,62
Joe,Ayala,Verizon,1.866681,40
Stephanie,Morrison,T-Mobile,3.539828,29
Linda,Miranda,AT&T,9.939132,41
Sandra,Pope,AT&T,8.791759,99
Michele,Howard,Verizon,2.195285,34
Brandon,Villegas,T-Mobile,9.42995,89
Christopher,French,Verizon,0.625341,47
Maria,Acevedo,Verizon,5.386373,79
Katherine,Short,Verizon,5.928749,43
Katrina,Parker,Sprint,3.138678,33
Dean,Carlson,AT&T,7.207788,85
Rachel,Butler,Verizon,8.740821,62
Jonathan,Young,T-Mobile,1.195496,69
Donna,Mcbride,Sprint,9.769338,89
Susan,Blackburn,T-Mobile,2.811624,76
Lori,Robertson,Verizon,4.312143,66
Kelsey,Newman,Sprint,2.604938,38
Amber,Simmons,AT&T,7.42927,80
Hayley,Smith,T-Mobile,7.116876,68
Jamie,Meyer,T-Mobile,0.878708,81
Brad,Cardenas,Verizon,7.268802,39
Melinda,Bennett,AT&T,2.184748,85
Matthew,Serrano,Sprint,3.93787,74
Lisa,Davis,AT&T,4.68217,86
Anthony,Hardy,AT&T,1.783087,84
Jeremy,Lawson,T-Mobile,8.880542,65
Erika,Johnson,T-Mobile,2.584407,89
Alexis,Edwards,Sprint,4.691085,91
Renee,Marsh,AT&T,3.97572,48
Timothy,Ortiz,AT&T,4.915479,82
David,Turner,AT&T,5.695915,50
Ashley,Banks,T-Mobile,5.220735,82
Ronald,Whitney,Verizon,3.570906,66
Jamie,Peters,Verizon,4.82567,50
Brittney,Martinez,AT&T,3.669792,94
Eric,Brown,Verizon,0.766262,94
Kyle,Ortiz,T-Mobile,9.312522,21
Donna,Kent,Verizon,1.977278,71
Lisa,Thomas,T-Mobile,2.518836,49
Philip,Robinson,AT&T,4.192525,49
Michelle,Garcia,Verizon,7.062222,32
Melissa,Hernandez,Verizon,6.192741,94
Jennifer,Sullivan,AT&T,8.078803,29
Justin,Jones,Verizon,4.117709,31
Patrick,Wagner,AT&T,7.979461,32
Christina,Oconnell,T-Mobile,7.423434,84
Christopher,Gomez,AT&T,3.706324,42
Daniel,Mack,Verizon,8.705747,25
William,Davis,AT&T,6.752475,57
Louis,Vaughn,Sprint,2.76686,23
Travis,Black,T-Mobile,6.264861,48
Megan,Lane,T-Mobile,3.791506,89
Jeffrey,Williams,AT&T,7.965195,18
Jenna,Chapman,Verizon,8.154384,58
Ronald,Taylor,Verizon,1.066715,82
Vanessa,Taylor,T-Mobile,1.290971,19
Daniel,Edwards,AT&T,4.139156,83
Dustin,Bentley,T-Mobile,1.91235,42
Michele,Schultz,T-Mobile,4.211494,91
Nathan,Gonzalez,Verizon,5.605956,95
Ryan,Yates,Sprint,3.656137,74
James,Garcia,AT&T,4.962775,27
Matthew,Zuniga,T-Mobile,8.897493,38
Kristina,Clark,Sprint,3.913108,79
Jared,Young,Sprint,4.151102,25
Stephanie,Miller,T-Mobile,2.928036,39
Tiffany,Gallagher,T-Mobile,1.858053,88
Anne,Hawkins,Verizon,2.99636,71
Christina,Simmons,T-Mobile,4.390822,65
Jeffery,Wilson,Sprint,7.124755,20
Kathleen,Guerra,T-Mobile,1.868932,40
Linda,Carter,T-Mobile,0.737948,51
Allen,Becker,Verizon,9.239943,81
Charles,Lewis,Sprint,5.370318,85
Matthew,Knight,T-Mobile,9.489257,66
David,Robertson,Verizon,5.119825,35
Vincent,Livingston,T-Mobile,4.70481,26
Mary,Hunter,T-Mobile,2.978894,82
Anita,Wallace,T-Mobile,4.250141,49
Noah,Wall,T-Mobile,2.47137,35
Andrew,Walker,T-Mobile,1.608627,66
John,Newman,Verizon,8.695732,60
Tamara,Miller,Sprint,8.798455,84
Marissa,Rangel,Verizon,1.036239,59
Debbie,Hunt,Verizon,6.376587,61
Anthony,Williams,Verizon,2.874001,27
Joseph,Bond,Sprint,9.212147,38
Wesley,Nelson,T-Mobile,4.589951,58
Yvonne,Brown,AT&T,4.819054,41
Haley,Allen,AT&T,3.472729,54
Jason,Hall,Verizon,5.985935,71
Tracy,Bailey,Verizon,5.009262,65
Kayla,Hudson,Sprint,6.879604,44
Jessica,Fields,Sprint,6.975305,92
Jason,Gonzalez,Sprint,9.189105,81
Matthew,Todd,Verizon,6.414387,19
Kristy,Lambert,Sprint,5.332632,39
Blake,Krause,AT&T,8.324357,38
Paul,Woods,AT&T,6.692729,47
Sandra,Johns,Sprint,1.321755,47
John,Barrera,AT&T,0.64691,41
Gail,Kelly,AT&T,7.175216,37
Jeffrey,Smith,Sprint,6.000551,44
Shelia,Dickerson,AT&T,5.457741,40
Christopher,Mcdonald,Sprint,5.769581,98
Charles,Young,T-Mobile,9.737767,74
Christopher,Hill,Verizon,2.963634,79
Rachel,Garcia,T-Mobile,2.364897,79
Kenneth,Coffey,Verizon,3.660355,91
Logan,Hickman,AT&T,1.928732,78
Loretta,Trevino,T-Mobile,2.803684,40
Lisa,Haney,Verizon,3.827629,32
Melissa,Walton,Verizon,9.122389,82
Matthew,Cherry,T-Mobile,3.44365,46
Kenneth,Garcia,Verizon,1.413295,62
Eric,Peterson,AT&T,1.350982,60
Sharon,Newton,Sprint,3.680985,85
Stacey,Garner,T-Mobile,0.567309,100
Marc,Mccarthy,AT&T,7.107337,21
Jackson,Mooney,AT&T,7.033751,96
Timothy,May,T-Mobile,8.88162,85
Eugene,Hendricks,Verizon,1.301476,77
Cody,Vance,Verizon,7.552507,60
Nathan,Gilbert,AT&T,7.721081,20
Kathleen,Robinson,AT&T,6.607158,32
Michael,Peters,AT&T,2.376473,95
Lauren,Russell,T-Mobile,7.299812,61
Walter,Odonnell,Verizon,2.305944,71
Linda,Torres,T-Mobile,4.186792,47
Sheila,Martinez,Verizon,4.385172,27
Seth,Lowe,Sprint,8.932699,83
Megan,Moore,Sprint,5.603021,97
Cindy,Evans,T-Mobile,1.252255,56
Jay,Martin,T-Mobile,7.737756,46
Roberto,Whitney,Verizon,3.918438,27
Alexander,Jennings,Verizon,5.807265,38
Carrie,Lopez,T-Mobile,1.540693,54
Phillip,Barr,T-Mobile,0.882573,64
Joyce,Miller,T-Mobile,2.18793,26
Kelsey,Romero,AT&T,2.882857,97
Ashley,Ellis,Sprint,4.330383,23
James,Herrera,AT&T,8.570897,57
Jacqueline,Elliott,Verizon,1.774625,58
Brianna,Owens,Sprint,9.50222,74
Lisa,Stuart,AT&T,2.737177,72
Eric,Hill,Verizon,0.78614,95
Randall,Daniel,Verizon,2.545605,36
Austin,Bryant,AT&T,4.848305,91
Steven,Shelton,Sprint,2.905991,53
Steve,Mcpherson,AT&T,7.295503,51
Todd,Brandt,Verizon,4.773845,86
Douglas,Ortiz,AT&T,3.187259,98
Pamela,May,Sprint,3.268359,23
Holly,Le,Sprint,8.707393,73
Karl,Bryan,AT&T,8.726276,43
Kyle,Doyle,T-Mobile,6.769727,22
Emma,Lewis,T-Mobile,0.907233,40
Tanya,Ross,Sprint,1.05048,28
Kevin,Hart,T-Mobile,2.2297,93
Dean,Garcia,Sprint,9.888079,98
Sean,Doyle,Sprint,4.592063,96
Carolyn,Hawkins,Sprint,3.626171,45
Paul,Jones,Sprint,9.976419,80
Mark,Hall,T-Mobile,8.872099,36
Steven,Petersen,T-Mobile,4.3601,43
Larry,Morales,Verizon,4.456446,33
Laurie,Hall,Verizon,9.325434,83
Jason,Howard,AT&T,5.936186,80
Jeffrey,Walker,T-Mobile,6.257321,84
Robert,Wilkinson,AT&T,6.459249,51
Sarah,Diaz,Sprint,7.761879,34
Rick,Farley,Verizon,9.834133,47
Tiffany,Hensley,AT&T,4.485247,40
Kimberly,Jackson,AT&T,7.545041,64
Harry,Hoffman,Verizon,7.740339,97
Ryan,Archer,Sprint,6.389196,58
Mary,Green,T-Mobile,6.530053,19
Michelle,Kelly,Verizon,9.444034,88
Katherine,Roth,AT&T,4.498266,61
Latasha,Santos,Verizon,9.419044,72
Rebecca,Smith,Sprint,6.366974,98
Caleb,Bush,Sprint,9.047841,33
Jodi,Sanchez,AT&T,2.56655,83
Brandy,Nguyen,Verizon,5.715032,95
Mary,Williamson,T-Mobile,9.835737,84
Jim,Mcdowell,T-Mobile,5.408164,45
Sandy,Best,T-Mobile,5.036349,56
Katie,Clay,AT&T,4.43259,65
Dennis,Lewis,Verizon,1.870262,83
Sydney,Smith,AT&T,3.269617,49
Christine,White,Verizon,3.299242,59
Anna,Baker,Sprint,2.49117,37
David,Weaver,AT&T,6.121146,76
Gwendolyn,Bennett,T-Mobile,8.541289,34
Ryan,Sandoval,T-Mobile,8.721312,41
Trevor,Hanson,T-Mobile,3.866468,78
Jacob,Johnson,T-Mobile,5.035041,79
Alyssa,Smith,T-Mobile,9.474842,62
Billy,Patterson,T-Mobile,8.962639,50
David,Hunt,Sprint,3.060781,77
Daniel,Rodriguez,AT&T,7.904604,46
Sergio,Ray,T-Mobile,9.453273,79
Allison,Reynolds,Verizon,4.437306,45
Amanda,Harris,AT&T,8.619723,40
William,Larson,AT&T,6.632321,90
Jackie,Le,AT&T,3.056982,76
Nicole,Ryan,Verizon,6.023015,28
