First Name,Last Name,Network Provider,Total Data (GB),Age,Upstream Data (MB),Downstream Data (MB),App Name,Timestamp,City,State,Country,Zip code
April,Watson,Sprint,6.140279,40,86.33,5.75,TikTok,2023-11-12 17:09:45,Alvaradomouth,Florida,Tajikistan,9027
Sharon,Rodriguez,AT&T,2.887793,70,87.14,209.01,Twitter,2023-07-30 19:24:49,Kevinstad,Wisconsin,Dominican Republic,52011
Matthew,Castro,T-Mobile,7.514462,78,74.24,376.22,YouTube,2024-01-06 16:21:48,New William,North Dakota,South Georgia and the South Sandwich Islands,95222
Justin,Brown,AT&T,4.278517,74,64.37,79.87,Snapchat,2024-04-11 18:21:48,Laurenmouth,Alabama,Timor-Leste,91341
John,Dennis,AT&T,7.533128,22,14.43,76.35,Instagram,2024-04-04 20:19:31,Gregorybury,Washington,Saint Kitts and Nevis,97819
Adam,Joyce,AT&T,9.527146,55,27.48,299.6,Instagram,2023-12-04 12:38:46,Melissabury,Delaware,Monaco,92735
Shane,Shaw,Verizon,4.305167,23,22.16,300.99,Facebook,2023-10-23 19:20:52,Masonstad,Idaho,Holy See (Vatican City State),6035
Scott,Robinson,Sprint,7.773452,52,15.98,2.17,Instagram,2023-07-27 05:04:03,East Cheyenneport,New Hampshire,Argentina,97339
Jonathan,Oneill,AT&T,5.762897,88,32.45,5.33,Facebook,2023-10-11 13:20:22,Richardfort,Arkansas,Albania,8116
Theresa,Leon,T-Mobile,3.246201,81,61.5,98.07,Instagram,2023-09-22 02:23:04,Brownfurt,South Carolina,Saint Pierre and Miquelon,51510
Johnny,Romero,T-Mobile,6.233964,27,73.0,217.85,Twitter,2023-08-10 23:44:13,Shannonbury,Mississippi,Antarctica (the territory South of 60 deg S),83976
Robert,James,AT&T,5.195364,26,25.7,229.19,YouTube,2024-03-08 05:57:29,Lake Christopherborough,Colorado,Bermuda,9305
William,Brown,Sprint,3.761839,92,41.25,54.85,Snapchat,2023-11-02 10:54:38,Cheyennestad,Mississippi,Ireland,44519
Trevor,Werner,Sprint,6.202801,93,95.65,458.34,Facebook,2023-12-18 16:04:23,North Regina,South Carolina,Northern Mariana Islands,2594
Martin,Jones,AT&T,3.037863,27,17.78,466.32,Instagram,2023-07-26 05:14:57,West Charleschester,Hawaii,Benin,69797
Rachel,Terry,Verizon,3.676078,84,41.64,430.41,WhatsApp,2024-03-09 09:14:20,Jennyland,Connecticut,Botswana,3229
Julie,Olson,Verizon,4.880621,88,25.46,39.14,YouTube,2024-04-13 08:16:12,Littlefurt,New Jersey,Western Sahara,1906
Joanne,Malone,Sprint,2.74455,29,59.92,495.96,WhatsApp,2024-05-05 23:37:00,Johnsonport,Florida,Estonia,53087
Meghan,Woods,AT&T,8.193422,22,6.97,498.54,Instagram,2023-08-18 19:52:53,East Jerry,Michigan,Cocos (Keeling) Islands,45142
Kristi,Scott,Verizon,2.841661,81,6.99,493.54,WhatsApp,2023-07-19 20:59:37,Johnsonside,Maryland,Taiwan,89522
Cynthia,Haley,T-Mobile,3.466896,85,39.65,126.8,Snapchat,2023-11-23 07:43:00,Wardside,South Dakota,Djibouti,90232
Frank,Baker,AT&T,4.549223,36,74.61,241.31,TikTok,2023-12-03 00:58:29,Port Annettetown,Colorado,Sierra Leone,65814
Elizabeth,Mccoy,Verizon,5.022357,69,56.21,325.39,Twitter,2024-02-07 20:12:48,New Crystalfort,Delaware,Saint Barthelemy,45432
Richard,Rowe,Verizon,3.759139,76,33.66,81.31,Facebook,2023-08-22 10:40:11,East Angela,Alaska,Colombia,79772
Kendra,Vega,Verizon,7.691354,41,74.23,348.21,Facebook,2023-07-24 04:55:08,Port Jeremiah,Arkansas,Bahrain,92963
David,Villarreal,Sprint,9.891746,41,63.85,130.56,Instagram,2024-05-21 04:52:55,Lake Kenneth,Kentucky,Nigeria,73170
Matthew,Rivas,Verizon,5.909626,86,47.91,95.44,TikTok,2023-10-23 17:54:24,South Keith,Kansas,Russian Federation,53770
Anita,Watson,T-Mobile,1.203359,79,68.31,183.62,Snapchat,2023-11-29 22:42:36,Douglasside,Colorado,Falkland Islands (Malvinas),67677
Michael,Baker,Verizon,8.24783,42,58.86,378.57,YouTube,2024-01-28 12:22:09,Changfort,Idaho,Western Sahara,27574
Molly,Gray,Verizon,0.736267,60,54.03,230.48,Twitter,2023-12-14 09:42:13,Jamesfurt,Alabama,Korea,11060
Shannon,Avila,Sprint,6.945239,78,95.94,199.67,Snapchat,2024-02-16 10:53:26,New Nicoleville,Wisconsin,Kiribati,84842
Susan,Harmon,T-Mobile,3.026913,93,78.25,324.59,WhatsApp,2024-01-25 03:35:53,Walkerton,New Jersey,Vanuatu,71344
Kathryn,Thomas,T-Mobile,9.454832,36,63.0,272.62,Snapchat,2023-11-09 16:16:36,New Christinebury,Iowa,Netherlands,78224
Sydney,Freeman,Sprint,1.572083,80,95.63,470.81,Instagram,2023-08-09 19:44:47,Judithshire,Kansas,Turkmenistan,79939
Doris,Ross,Sprint,8.873764,29,32.62,278.67,Instagram,2023-06-30 06:42:10,New Marcus,New Jersey,Anguilla,23555
Brittany,Bishop,Sprint,3.251159,33,37.89,499.25,WhatsApp,2023-07-03 22:10:39,East Davidville,Arkansas,Chile,57864
Cassandra,Taylor,AT&T,7.215609,32,29.7,49.5,WhatsApp,2024-05-28 00:13:18,Port Kristihaven,Rhode Island,Isle of Man,20574
Mary,Strong,Sprint,2.296461,64,87.16,323.71,YouTube,2023-08-31 19:17:30,Johnsonstad,Iowa,Morocco,22192
Michelle,Tran,Sprint,8.025531,19,66.74,440.28,Instagram,2024-03-12 23:25:45,Austinbury,Michigan,Albania,14342
Allison,Terry,Verizon,9.435056,54,75.08,411.42,Instagram,2023-10-05 07:24:11,South Christian,Nevada,American Samoa,59846
Sara,Maddox,AT&T,7.371152,78,27.73,344.82,Snapchat,2024-03-08 20:00:14,Collinsport,New Jersey,Bermuda,97731
Raven,Acosta,Verizon,4.065808,56,42.36,460.82,WhatsApp,2023-07-10 10:56:05,West Mary,Delaware,Myanmar,9156
Dennis,Callahan,Sprint,9.182762,92,76.61,186.64,Snapchat,2023-06-12 16:52:34,Jamestown,Oregon,French Polynesia,15491
Matthew,Kennedy,AT&T,0.677099,94,63.35,160.99,Twitter,2024-01-18 11:53:44,Abigailfurt,Montana,American Samoa,96894
Summer,Harris,Sprint,6.211573,92,0.57,195.95,YouTube,2023-10-25 22:11:06,Gardnerbury,Oklahoma,Mayotte,87087
Steven,Hawkins,Sprint,9.427522,68,99.71,223.86,TikTok,2024-05-10 23:43:19,Monicaland,Massachusetts,Northern Mariana Islands,32570
Laura,Yoder,AT&T,7.739158,77,5.96,425.77,YouTube,2023-06-19 17:06:52,Port Morgantown,West Virginia,Cyprus,53000
Kyle,Bryant,Verizon,9.049048,21,74.03,284.36,WhatsApp,2024-03-31 18:35:43,Alejandrahaven,Vermont,Switzerland,65855
James,Snyder,T-Mobile,2.456512,60,19.66,127.84,Twitter,2023-09-02 06:55:11,South Lisa,Georgia,Falkland Islands (Malvinas),82790
Jeffrey,Hernandez,Sprint,3.034363,89,76.89,369.54,TikTok,2024-01-14 02:16:05,Lake Angela,New Jersey,Sweden,39614
Ronald,Riggs,T-Mobile,4.524839,48,2.19,335.55,Instagram,2023-07-09 07:27:37,New Davidport,South Dakota,Dominican Republic,35778
James,Allen,Sprint,1.352189,53,70.0,236.07,YouTube,2024-04-06 04:00:47,Thomaston,Oregon,Martinique,542
Amy,Hoffman,Sprint,0.626841,65,6.91,157.29,WhatsApp,2024-02-23 03:23:17,Lake Melissabury,Alabama,Burkina Faso,3899
Christy,Newman,Verizon,4.696225,94,72.75,205.04,Instagram,2023-10-01 16:51:12,Anthonychester,New Mexico,Lithuania,13553
Joshua,Mills,AT&T,7.327759,56,83.25,22.22,Twitter,2024-05-21 05:55:59,Rodriguezport,Delaware,Bahamas,73198
Amy,Vasquez,T-Mobile,9.116698,55,67.23,339.1,Twitter,2024-02-15 07:14:14,Nicholsberg,Oregon,Niger,43761
Nichole,Fischer,T-Mobile,6.167548,42,35.7,180.69,Twitter,2023-08-07 14:06:53,Port Brianburgh,Texas,Gabon,33603
Debra,Bean,T-Mobile,1.431625,63,63.04,188.17,Twitter,2023-10-09 10:50:05,New Danachester,Hawaii,Guinea,4167
John,Ellison,T-Mobile,5.201717,44,22.87,450.31,YouTube,2024-01-11 21:28:42,New Jamesshire,Idaho,Ireland,1589
Michael,Wilson,Verizon,9.317688,84,73.82,41.78,Instagram,2024-04-28 04:59:02,South Daniel,West Virginia,Honduras,13287
Erik,Fuentes,AT&T,2.580862,58,58.05,463.03,TikTok,2023-10-29 22:19:03,Nuneztown,South Dakota,Tanzania,23838
Joyce,Petersen,T-Mobile,3.46584,55,30.58,255.36,Twitter,2024-04-13 12:24:24,Javierside,Hawaii,Ghana,74927
Megan,Robinson,Verizon,1.761558,57,87.95,210.97,WhatsApp,2024-03-18 06:59:56,Lake Bradley,Vermont,Papua New Guinea,29624
Carrie,Rodriguez,T-Mobile,8.094883,48,67.71,14.92,Snapchat,2024-04-03 08:17:10,Kimberlyfort,Connecticut,South Africa,64782
Dwayne,Ho,T-Mobile,1.989809,53,20.19,257.47,Facebook,2024-04-24 16:36:19,Harpermouth,Nebraska,Zimbabwe,27373
Yolanda,Combs,AT&T,9.390506,78,48.5,89.75,TikTok,2023-07-10 20:28:16,North Anthony,New Hampshire,Denmark,46214
Jamie,Joseph,AT&T,7.480581,40,71.08,313.74,Snapchat,2023-08-09 19:22:36,Port Donna,Idaho,Andorra,67077
Nathan,Lopez,AT&T,9.920014,42,88.38,131.59,Instagram,2024-03-17 21:58:38,Buchananberg,New Hampshire,Guinea-Bissau,4303
Drew,Ponce,AT&T,0.60376,83,26.86,466.46,YouTube,2024-02-13 07:19:24,Lake Nicholasstad,Arizona,Sao Tome and Principe,39423
Kathleen,Matthews,Sprint,8.771992,46,51.47,432.6,Snapchat,2024-01-03 17:05:22,New Danaburgh,Indiana,Oman,78728
Erica,Thomas,Sprint,3.377463,18,49.83,57.89,YouTube,2023-12-20 08:12:54,East Williamport,New Mexico,Christmas Island,7542
Brandi,Odom,T-Mobile,7.050383,24,7.78,451.41,WhatsApp,2023-10-21 19:21:43,Hendersonville,Texas,Eritrea,50359
Kari,Vasquez,T-Mobile,1.776277,74,46.07,276.16,Facebook,2023-08-16 21:29:13,Heatherview,Colorado,Trinidad and Tobago,3590
Chase,Myers,Verizon,8.37287,71,32.26,132.93,Snapchat,2024-05-05 17:10:21,Kennethland,Mississippi,Gambia,22634
Cheyenne,Holloway,Sprint,3.503716,100,51.38,242.97,Twitter,2023-10-10 15:45:51,Lake Ryanchester,Tennessee,South Africa,20570
Kyle,Wallace,T-Mobile,8.75806,58,84.72,98.22,Twitter,2023-08-30 14:12:59,South Robert,Minnesota,Guam,87470
Kevin,Jones,Verizon,8.636522,91,79.21,149.1,Instagram,2024-01-30 13:59:17,Amandamouth,Ohio,British Virgin Islands,95250
Martin,Tran,T-Mobile,4.72865,42,72.18,440.1,WhatsApp,2023-11-04 21:53:33,West Johnport,Oregon,Dominica,55794
Stephanie,Sheppard,T-Mobile,3.38423,58,64.81,289.99,Snapchat,2023-12-01 21:16:49,Fordberg,New Jersey,Bahamas,93730
Mark,Mcgee,Sprint,5.291068,98,76.55,468.51,Facebook,2023-06-09 15:01:14,Jennifermouth,Maryland,Swaziland,32432
Mary,Jordan,Verizon,7.852849,57,94.52,293.54,Twitter,2024-01-15 20:49:56,East Josephstad,Rhode Island,Barbados,7909
Tonya,Pearson,AT&T,9.851819,36,94.71,464.59,Facebook,2023-06-19 10:19:36,Port Josephview,Montana,Peru,33301
Morgan,Foster,Verizon,3.432841,38,6.82,109.78,Facebook,2024-03-18 01:15:03,South Jacobhaven,Illinois,Turkmenistan,72988
Deborah,Murphy,T-Mobile,6.843484,79,15.12,77.24,Facebook,2024-03-06 13:06:11,Buchananview,West Virginia,Rwanda,61172
Julie,Davis,Verizon,0.553001,83,65.14,157.16,TikTok,2024-02-17 03:13:29,South Jennifer,Alabama,French Guiana,858
Randy,Bush,Verizon,4.55746,21,3.14,370.25,Instagram,2024-03-15 15:42:35,Cookview,Idaho,Turks and Caicos Islands,96201
Susan,Daniel,T-Mobile,5.000965,59,66.25,223.35,Instagram,2023-09-10 07:23:27,New Justin,North Carolina,Singapore,30734
Tracey,Sawyer,T-Mobile,3.140578,60,70.72,45.93,Facebook,2024-01-05 12:37:30,East Devonstad,Vermont,Algeria,41006
Elizabeth,Orozco,Verizon,1.507701,45,28.48,271.16,Twitter,2023-09-20 20:29:56,Rodriguezhaven,Maryland,Niue,95952
Donna,Wilson,Verizon,2.259731,71,68.95,177.12,WhatsApp,2023-11-13 15:50:26,Nicholaston,Hawaii,North Macedonia,95618
Mary,Smith,AT&T,1.864343,58,63.69,438.67,Facebook,2023-08-26 21:06:47,Johnchester,Kentucky,Montenegro,88960
Scott,Hinton,Sprint,1.824562,93,18.21,44.35,WhatsApp,2024-03-05 10:40:34,Hallfort,Florida,Uzbekistan,59015
Daniel,Smith,Verizon,5.659675,86,16.65,374.89,WhatsApp,2023-12-06 18:33:25,New Rubenstad,Texas,Gibraltar,65896
Jeffrey,Frank,Verizon,3.12102,83,20.35,6.4,YouTube,2024-01-01 20:06:45,Christopherchester,Alaska,Grenada,87673
Cheryl,Rivas,Verizon,7.967436,45,98.48,494.08,WhatsApp,2023-12-04 00:00:37,Timothyville,Vermont,Timor-Leste,12215
Benjamin,Mills,T-Mobile,5.791069,84,50.79,295.89,Twitter,2024-05-18 17:23:13,West Jennifer,Wisconsin,Vietnam,55124
Carrie,Wheeler,AT&T,5.49976,28,11.71,400.98,YouTube,2023-06-04 14:31:04,Montgomerymouth,California,Australia,89712
Heather,Pittman,AT&T,7.243462,49,15.46,86.39,Snapchat,2023-08-23 07:24:12,Hallhaven,Washington,Paraguay,60077
James,Rogers,Verizon,1.64287,60,24.29,35.8,TikTok,2023-12-15 12:02:57,Tiffanytown,Missouri,Australia,57834
Mary,Thompson,AT&T,9.489382,22,31.25,155.04,WhatsApp,2023-06-20 13:35:48,Weekschester,Nebraska,Haiti,46510
Manuel,Ellis,Verizon,7.127351,25,83.95,254.37,Facebook,2024-02-26 11:20:51,West Brendashire,New Hampshire,Malaysia,4550
Sarah,Jones,Sprint,5.813063,22,53.34,459.58,Twitter,2023-07-11 04:24:18,Jennifermouth,Vermont,Greece,69828
Joseph,Solomon,Verizon,8.822139,49,34.53,390.43,Snapchat,2023-06-08 16:54:14,Dianaport,Utah,Guinea,57211
David,Walters,AT&T,5.763845,73,44.28,49.58,YouTube,2023-07-19 03:23:52,Jamesborough,Oklahoma,Qatar,42105
Patrick,Gonzalez,T-Mobile,5.174322,52,75.73,145.38,Instagram,2024-03-18 15:26:21,East Daniel,Vermont,Cyprus,3843
David,Faulkner,Sprint,9.584463,90,70.42,292.85,WhatsApp,2023-12-04 22:34:21,Lake Tina,New Hampshire,Namibia,51647
Michael,Estrada,T-Mobile,2.080368,30,94.0,182.62,TikTok,2023-08-03 13:00:14,East Theresa,Virginia,Equatorial Guinea,63184
David,Russell,AT&T,7.583825,51,9.32,1.16,Facebook,2024-05-19 21:47:45,New Robertchester,Iowa,San Marino,13341
Austin,Carr,T-Mobile,2.982256,57,77.17,486.14,YouTube,2024-04-20 04:34:47,Jarvismouth,Nevada,Nicaragua,43198
Jessica,Stanton,Verizon,2.984428,62,16.77,86.16,YouTube,2023-08-17 06:26:15,Flynnmouth,Minnesota,Svalbard & Jan Mayen Islands,3218
Kimberly,Smith,T-Mobile,9.351182,49,73.93,31.97,Snapchat,2023-11-04 10:43:25,Port Joshuatown,Colorado,Comoros,92283
Nancy,Stone,AT&T,5.465294,51,26.27,467.72,Snapchat,2024-02-01 18:43:02,Port Jose,Nevada,Reunion,3798
Kelly,Carpenter,T-Mobile,8.64449,64,37.42,243.88,Twitter,2023-07-26 10:32:15,East Joshua,Florida,Gambia,39397
Kathryn,Butler,Verizon,2.871325,32,82.13,359.77,YouTube,2023-10-22 16:15:11,New Steven,Illinois,Dominica,66412
Sarah,Larsen,Verizon,0.912818,28,78.95,483.32,YouTube,2023-07-17 01:04:38,East Johnnybury,Arizona,Cyprus,66683
Paula,Bell,AT&T,2.446522,40,41.61,84.18,Instagram,2024-03-23 10:54:47,Danielmouth,Wisconsin,Cocos (Keeling) Islands,13013
Brent,Oconnor,T-Mobile,2.091969,39,20.67,412.08,YouTube,2023-08-08 09:11:51,West Albertburgh,Rhode Island,El Salvador,28243
Daisy,Bailey,T-Mobile,3.872527,75,26.51,271.8,Snapchat,2024-04-26 08:38:53,Terriberg,South Dakota,Uruguay,85957
Karen,Bell,Sprint,7.004618,35,54.12,120.21,Snapchat,2023-06-07 15:27:17,New Shannonport,Alabama,Saint Kitts and Nevis,61148
Ashley,Wright,T-Mobile,2.848137,94,15.7,305.85,YouTube,2023-06-04 15:48:32,West Antonio,South Dakota,Heard Island and McDonald Islands,81612
Lisa,Strong,AT&T,9.897401,35,22.45,66.35,WhatsApp,2023-10-02 09:17:17,Mannhaven,Iowa,China,95369
Matthew,Garcia,Verizon,6.094336,100,0.66,274.52,Snapchat,2023-10-09 09:36:13,Lake Jillian,Vermont,Montserrat,50810
Joseph,Hall,Sprint,4.771328,63,87.4,499.04,Snapchat,2024-04-23 08:54:12,East George,Arizona,Iceland,67044
Courtney,Fox,Verizon,7.767149,77,54.22,4.67,Instagram,2023-06-10 14:08:36,North Cassandra,Oregon,French Polynesia,71271
Joseph,Rivera,T-Mobile,1.092134,36,24.47,215.18,Facebook,2023-07-28 03:26:02,Port Robertbury,Oklahoma,French Guiana,26131
Erika,Mckinney,Sprint,3.146455,44,27.16,394.35,Instagram,2023-09-11 15:54:38,Boydberg,California,Austria,77851
Heather,Miller,T-Mobile,2.47037,46,5.15,313.07,Instagram,2023-12-31 14:55:04,West Lisachester,Massachusetts,Cyprus,8449
Timothy,Cardenas,T-Mobile,4.248537,35,98.69,200.41,WhatsApp,2023-07-31 05:29:12,Richardsonland,Indiana,Anguilla,78594
Regina,White,Verizon,9.207256,60,55.01,471.05,WhatsApp,2023-10-22 21:09:55,Lake David,Montana,Kiribati,53513
Caroline,Castro,Sprint,1.804925,27,79.61,310.59,Snapchat,2023-07-15 04:53:06,Allentown,New Hampshire,Poland,25379
Kathy,Garcia,Sprint,9.758631,64,87.74,484.12,Snapchat,2023-06-01 23:22:01,Victoriachester,Wyoming,Samoa,36068
Maria,Leblanc,AT&T,2.580146,81,10.61,403.33,WhatsApp,2023-10-15 09:30:03,South Chadstad,Alabama,Senegal,12891
Teresa,Mcdowell,T-Mobile,0.629827,32,46.91,43.32,Facebook,2024-02-07 06:16:41,East Matthew,Nevada,Estonia,30278
Victoria,Kelly,Sprint,9.101731,96,72.5,145.91,YouTube,2023-07-30 21:03:52,North Bobfort,Wyoming,Botswana,53875
Daniel,Gray,Verizon,8.205041,84,13.39,465.18,Facebook,2024-02-20 14:25:54,Keithview,North Dakota,Holy See (Vatican City State),24735
Anna,Park,Verizon,3.605,84,89.4,53.25,TikTok,2023-08-08 20:21:04,South Elizabethborough,Indiana,Botswana,36984
Ronald,Watkins,Sprint,3.183061,22,30.25,297.4,Instagram,2024-02-25 18:49:38,Brandonburgh,Ohio,Syrian Arab Republic,21098
Lisa,Owens,Sprint,8.786553,18,61.15,249.04,YouTube,2023-11-12 01:13:46,Lake Amandahaven,Wisconsin,Kenya,64261
Megan,Pierce,Verizon,7.440833,61,35.47,213.18,Snapchat,2024-03-15 20:04:24,Port Charlesfurt,Kansas,United States of America,93174
Nicole,Smith,Sprint,7.686854,58,99.14,48.45,Instagram,2023-06-17 05:51:42,Port Erik,Idaho,Turkey,92934
Sheila,Hodges,AT&T,4.380455,96,85.66,222.98,TikTok,2023-07-11 17:22:17,Port Christinamouth,Utah,Namibia,1300
Michael,Brown,T-Mobile,2.05218,97,65.91,165.99,Instagram,2023-06-14 19:23:51,Mcclainton,Montana,Malawi,28705
Susan,Flores,T-Mobile,1.735192,88,92.97,389.32,Twitter,2023-07-21 00:35:10,Austinchester,Wyoming,Sierra Leone,27018
Patricia,Robbins,Verizon,8.998036,21,47.6,447.87,TikTok,2023-10-04 10:29:26,West Lauren,New Hampshire,Saint Helena,91139
Cody,Sims,AT&T,4.90943,71,82.9,145.8,TikTok,2023-09-16 07:46:57,Burgessberg,New Mexico,Spain,42131
Deborah,Robinson,T-Mobile,7.246174,86,51.51,155.59,TikTok,2023-08-13 10:31:25,North Brooke,Massachusetts,Norfolk Island,18602
Rebecca,Morris,Verizon,3.688978,61,12.04,67.22,Instagram,2023-12-11 05:52:05,Taylorburgh,South Carolina,Kenya,51413
Jennifer,Velasquez,AT&T,8.260406,52,26.68,352.69,TikTok,2024-02-29 22:06:33,Stokesfort,Missouri,Jordan,84237
Nancy,Perez,AT&T,0.724507,39,60.82,94.23,Snapchat,2023-06-03 21:22:00,Alexanderburgh,Florida,Niue,19498
Amber,Miller,Verizon,7.329477,54,20.9,405.63,Facebook,2023-09-11 15:28:42,Santoshaven,Tennessee,Yemen,49972
Lawrence,Taylor,Verizon,9.820208,54,64.56,438.98,TikTok,2024-04-22 21:56:44,West Justinville,California,Cuba,36027
Matthew,Clark,AT&T,4.759062,35,43.76,222.0,Snapchat,2023-11-21 11:42:38,New Joshua,New Mexico,British Indian Ocean Territory (Chagos Archipelago),20399
Jessica,Ross,T-Mobile,7.249789,52,53.98,36.48,Facebook,2023-08-13 06:42:23,New Trevorhaven,Oklahoma,Vanuatu,46930
Derek,Johnson,AT&T,3.253082,29,54.08,223.96,WhatsApp,2023-12-20 11:32:54,Amandafort,New Mexico,Slovenia,21028
Ralph,Dalton,Sprint,5.208972,54,28.06,248.99,Facebook,2024-03-05 23:02:04,Jasonport,Michigan,Nauru,47194
Christopher,Lewis,Sprint,2.746295,25,49.89,140.89,Instagram,2024-03-23 05:26:17,North Danashire,Arkansas,Libyan Arab Jamahiriya,49010
Kevin,Morgan,AT&T,6.69326,76,61.4,128.65,WhatsApp,2023-09-22 23:16:41,Baxterborough,North Carolina,Ethiopia,46874
Corey,Kirby,T-Mobile,1.735075,49,79.37,205.13,Facebook,2024-05-05 13:26:45,Port Christian,North Carolina,Mexico,29049
Brandy,Wilson,Verizon,6.953367,33,7.97,144.37,Twitter,2024-02-20 06:13:18,New Lauren,New Hampshire,Gambia,88401
David,Kennedy,T-Mobile,2.664827,65,41.78,250.52,Facebook,2024-02-25 20:26:43,Hensonborough,Nevada,Martinique,19419
Amanda,Johnson,AT&T,9.143203,96,87.68,198.55,WhatsApp,2024-02-22 20:13:49,Alisonchester,Montana,Puerto Rico,88528
Anthony,Rice,Sprint,8.624666,59,73.96,211.51,Snapchat,2024-03-11 11:55:57,Denisemouth,Montana,Iraq,66756
Alexandra,Dyer,AT&T,3.391972,76,0.96,428.12,TikTok,2024-01-08 15:35:14,Andreatown,New Jersey,Seychelles,27015
Joseph,Morgan,T-Mobile,1.201073,78,13.42,382.21,YouTube,2023-05-31 17:27:10,Becktown,Utah,Angola,2936
David,King,Verizon,6.347365,55,2.65,317.82,TikTok,2023-09-29 03:36:16,Jasonfurt,Minnesota,Cyprus,37680
Kirsten,Keller,T-Mobile,5.400738,94,33.96,469.92,Instagram,2024-04-03 18:22:42,North William,Utah,India,60501
William,White,T-Mobile,4.299338,45,22.7,74.21,Facebook,2023-09-01 00:12:01,Humphreyville,Kentucky,Guernsey,36674
Stephanie,Tucker,AT&T,1.989896,84,60.68,5.92,Snapchat,2024-02-25 22:38:24,West Stephanie,Oregon,Guam,67388
James,Hogan,Sprint,9.215377,35,60.1,144.57,YouTube,2023-11-04 05:47:59,South Rhonda,Connecticut,Australia,46006
Tina,Turner,T-Mobile,5.600844,61,2.69,144.66,Facebook,2024-05-05 23:02:46,Port Yvonneborough,Oklahoma,French Polynesia,96802
Caleb,Ford,T-Mobile,5.139618,59,83.37,483.91,Facebook,2023-12-02 04:11:19,Kathrynhaven,Kansas,Congo,13596
Samantha,Rose,Sprint,5.719306,46,40.11,230.24,TikTok,2023-05-31 13:28:38,South Jason,Illinois,Estonia,98235
Heidi,Baker,Sprint,6.399655,76,78.58,200.86,YouTube,2023-10-17 02:49:16,North Tiffany,Tennessee,Japan,14165
Justin,Brown,T-Mobile,2.488975,67,56.53,169.61,Facebook,2023-05-30 23:34:15,North Petertown,North Dakota,Ireland,22378
Corey,Adams,Sprint,8.94805,23,94.61,476.39,Facebook,2024-04-18 17:03:33,Lake Jodistad,Connecticut,Congo,23284
Patrick,Murphy,T-Mobile,5.752497,42,83.88,87.92,TikTok,2024-05-02 20:05:15,New Kristin,Vermont,Guernsey,22337
Rebecca,Jones,Verizon,3.579773,57,60.63,400.34,Facebook,2024-01-07 05:38:17,Christopherland,Texas,Papua New Guinea,6216
Heather,Kline,T-Mobile,8.374621,58,2.23,314.49,Snapchat,2024-02-17 10:28:31,New Allison,Ohio,Madagascar,97285
Angelica,Sanchez,AT&T,1.919313,42,66.28,19.91,Twitter,2023-08-14 16:11:52,Port Jeremy,Delaware,Argentina,23004
Shelia,Osborne,Verizon,8.42548,87,23.66,198.22,TikTok,2024-02-06 22:52:32,Henryside,Vermont,United Arab Emirates,49669
James,White,Verizon,5.064943,71,25.98,274.04,Facebook,2023-12-23 02:12:44,Valenzuelaburgh,Oregon,Mauritania,8610
Alyssa,Parks,Verizon,5.711872,92,71.57,472.97,YouTube,2023-08-19 08:33:31,Youngview,Mississippi,Reunion,11636
